epoch,MAE,NDCG@10,RC@10,RC@5,e_time,loss,lr
0,nan,0.08658815920352936,0.12866510450839996,0.09954751282930374,62.01234006881714,nan,9.9901e-05
1,nan,0.2584887444972992,0.3605961799621582,0.2986088693141937,60.17599320411682,nan,9.9802004e-05
2,nan,0.3373965620994568,0.47022876143455505,0.3913912773132324,60.207382917404175,nan,9.970301e-05
3,nan,0.38218966126441956,0.5274825096130371,0.4438037574291229,60.276453733444214,nan,9.960401e-05
4,nan,0.4144163131713867,0.5663836598396301,0.48015767335891724,60.31663513183594,nan,9.9505014e-05
5,nan,0.43803250789642334,0.5933364033699036,0.5070134997367859,60.33635449409485,nan,9.940602e-05
6,nan,0.4562973082065582,0.6130285859107971,0.5273990631103516,60.405247926712036,nan,9.930702e-05
7,nan,0.4704987406730652,0.627968430519104,0.543306827545166,60.37925481796265,nan,9.9208024e-05
8,nan,0.4819595515727997,0.6406477689743042,0.556150496006012,60.36268711090088,nan,9.910903e-05
9,nan,0.49076566100120544,0.6492182612419128,0.5658801198005676,60.39275503158569,nan,9.901003e-05
10,nan,0.49815499782562256,0.6572340726852417,0.5733843445777893,60.36776661872864,nan,9.8911034e-05
11,nan,0.5054736137390137,0.6643128991127014,0.5817192196846008,60.354902267456055,nan,9.881204e-05
12,nan,0.5106233954429626,0.669374942779541,0.5869630575180054,60.39483666419983,nan,9.871304e-05
13,nan,0.5158431529998779,0.6746470332145691,0.5927184224128723,60.37617087364197,nan,9.8614044e-05
14,nan,0.5195441842079163,0.6779993176460266,0.59661865234375,60.3189492225647,nan,9.851505e-05
15,nan,0.5226956009864807,0.6817675828933716,0.6003398299217224,60.33944272994995,nan,9.841605e-05
16,nan,0.5264018177986145,0.6851938962936401,0.6039963364601135,60.38122630119324,nan,9.8317054e-05
17,nan,0.5293212532997131,0.6883024573326111,0.6073836088180542,60.31789183616638,nan,9.821806e-05
18,nan,0.5317041873931885,0.6908361911773682,0.6102162003517151,60.33822703361511,nan,9.811906e-05
