epoch,e_time,loss,lr,p10,p5,r1,r10,r5
0,2.4641215801239014,4.27540397644043,0.00099901,0.07129328697919846,0.12470118701457977,0.40266627073287964,0.7129175662994385,0.6233987212181091
1,0.5190088748931885,4.0594658851623535,0.00099802,0.0820150226354599,0.14911124110221863,0.5498314499855042,0.82010418176651,0.7457094788551331
2,0.5174403190612793,3.7790050506591797,0.0009970301,0.08359640091657639,0.15178976953029633,0.5508274435997009,0.8359944820404053,0.7589028477668762
3,0.5199992656707764,3.4048752784729004,0.0009960401,0.08481764793395996,0.15443149209022522,0.5562519431114197,0.8481459021568298,0.7721728682518005
4,0.5256216526031494,2.8968122005462646,0.0009950501,0.08624119311571121,0.15886914730072021,0.5728011131286621,0.8623965382575989,0.794330358505249
5,0.5278565883636475,2.3834776878356934,0.0009940601,0.08696290105581284,0.1631903499364853,0.5981918573379517,0.8696138262748718,0.8159975409507751
6,0.519646167755127,1.9827306270599365,0.0009930701,0.08760648965835571,0.16713453829288483,0.6302329301834106,0.8760649561882019,0.8356114029884338
7,0.520820140838623,1.7241380214691162,0.0009920801,0.08880633860826492,0.17008578777313232,0.65107262134552,0.8880631327629089,0.8504137396812439
8,0.5210413932800293,1.5637718439102173,0.0009910901,0.09299109876155853,0.1749555617570877,0.6706558465957642,0.92989581823349,0.8747624754905701
9,0.5190141201019287,1.4770417213439941,0.0009901001,0.09511185437440872,0.17911122739315033,0.6810910105705261,0.9511339068412781,0.8954796195030212
10,0.5331258773803711,1.4205656051635742,0.0009891101,0.09566657990217209,0.18075086176395416,0.6877719759941101,0.9567422866821289,0.9037542343139648
11,0.5284030437469482,1.3700778484344482,0.0009881201,0.09593778848648071,0.1823996603488922,0.6946828365325928,0.9593625664710999,0.9120287895202637
12,0.5200614929199219,1.3318771123886108,0.0009871301,0.09617069363594055,0.1831841617822647,0.6984983086585999,0.9616610407829285,0.9159515500068665
13,0.5269010066986084,1.299122929573059,0.0009861401,0.09625651687383652,0.18374505639076233,0.7044743895530701,0.962534487247467,0.9188017249107361
14,0.5181219577789307,1.267940878868103,0.0009851501,0.0963837131857872,0.1841740608215332,0.7090713977813721,0.9638522863388062,0.9209623336791992
15,0.5423381328582764,1.2455813884735107,0.0009841601,0.09636072814464569,0.18413114547729492,0.7104505300521851,0.9636684060096741,0.9205485582351685
16,0.5368330478668213,1.2255290746688843,0.0009831701,0.09650474786758423,0.18454794585704803,0.7125191688537598,0.9650015234947205,0.9228010773658752
17,0.5409612655639648,1.2065991163253784,0.0009821801,0.09659208357334137,0.18468277156352997,0.714311957359314,0.9659056067466736,0.9234600067138672
18,0.5365183353424072,1.1870546340942383,0.0009811901,0.09657218307256699,0.1848789006471634,0.71598219871521,0.965752363204956,0.9243947267532349
19,0.5454013347625732,1.1752310991287231,0.0009802001,0.09666718542575836,0.18507817387580872,0.7164725661277771,0.9667484164237976,0.9253754019737244
20,0.5230426788330078,1.1583099365234375,0.0009792101,0.0968112200498581,0.1851302683353424,0.7187250852584839,0.9680968523025513,0.9255746006965637
21,0.5474846363067627,1.1554222106933594,0.0009782201,0.09671777486801147,0.18513333797454834,0.71849524974823,0.9671927690505981,0.9257431626319885
22,0.5480372905731201,1.1363749504089355,0.0009772301,0.09688632190227509,0.1855102926492691,0.7203493714332581,0.9688476920127869,0.9275513291358948
23,0.5403287410736084,1.121537208557129,0.00097624015,0.09682653099298477,0.1855531930923462,0.7219123244285583,0.9682500958442688,0.9278424978256226
24,0.5400352478027344,1.11334228515625,0.00097525015,0.09692155569791794,0.18573397397994995,0.723505973815918,0.969215452671051,0.9287005662918091
25,0.5356507301330566,1.1022330522537231,0.00097426015,0.09703490883111954,0.18597912788391113,0.7245326638221741,0.9703340530395508,0.9298651814460754
26,0.5266439914703369,1.0998141765594482,0.00097327016,0.09691541641950607,0.18588411808013916,0.7235519289970398,0.9691388010978699,0.9293901324272156
27,0.5354747772216797,1.0884897708892822,0.00097228016,0.09701348096132278,0.18613852560520172,0.723919689655304,0.970165491104126,0.9305853247642517
28,0.5261647701263428,1.0852205753326416,0.00097129017,0.09704259037971497,0.1859147846698761,0.7253447771072388,0.9703953266143799,0.9296352863311768
29,0.5496368408203125,1.080016016960144,0.00097030017,0.0971299484372139,0.18638060986995697,0.7245786190032959,0.9713300466537476,0.9319185018539429
30,0.5271408557891846,1.074860692024231,0.0009693102,0.09715751558542252,0.18623048067092896,0.7243180871009827,0.9715292453765869,0.9310756921768188
31,0.520927906036377,1.066942811012268,0.0009683202,0.09714525192975998,0.18628562986850739,0.7255286574363708,0.9714679718017578,0.9314281344413757
32,0.5196783542633057,1.0547542572021484,0.0009673302,0.09712688624858856,0.1865430325269699,0.7285473346710205,0.9712687730789185,0.9326233267784119
33,0.5332105159759521,1.0524944067001343,0.0009663402,0.09719430655241013,0.18642662465572357,0.7273521423339844,0.9719889760017395,0.9320410490036011
34,0.5194647312164307,1.0513805150985718,0.0009653502,0.09723108261823654,0.1863560825586319,0.7276432514190674,0.9722647666931152,0.9317039251327515
35,0.5276257991790771,1.0467984676361084,0.0009643602,0.09718048572540283,0.18641743063926697,0.7287771701812744,0.9719123244285583,0.9320410490036011
36,0.5319416522979736,1.0423274040222168,0.0009633702,0.09724333137273788,0.1866840124130249,0.7274746894836426,0.9724639654159546,0.9335427284240723
37,0.542494535446167,1.0377721786499023,0.0009623802,0.09723108261823654,0.18650628626346588,0.7280417084693909,0.9722800850868225,0.9325314164161682
38,0.5225374698638916,1.0367190837860107,0.0009613902,0.0973505899310112,0.18651548027992249,0.726723849773407,0.9734753370285034,0.9326080083847046
39,0.5273759365081787,1.0274564027786255,0.0009604002,0.09737051278352737,0.18677908182144165,0.7296199798583984,0.9737358093261719,0.9340024590492249
40,0.5242917537689209,1.0219777822494507,0.0009594102,0.09741495549678802,0.1870119571685791,0.7289304137229919,0.974226176738739,0.9351516962051392
41,0.5373399257659912,1.0183913707733154,0.0009584202,0.09740116447210312,0.18694758415222168,0.729957103729248,0.9740576148033142,0.9347532987594604
42,0.5319132804870605,1.0156171321868896,0.0009574302,0.09742262959480286,0.18708859384059906,0.7286699414253235,0.974226176738739,0.9352896213531494
43,0.518383264541626,1.0118521451950073,0.0009564402,0.09739808738231659,0.18689240515232086,0.7311676144599915,0.9739503264427185,0.9343242645263672
44,0.5357766151428223,1.008692741394043,0.00095545023,0.0974348857998848,0.18714983761310577,0.7294973731040955,0.9743334650993347,0.9356573820114136
45,0.5405979156494141,1.0091602802276611,0.00095446024,0.09749002009630203,0.18702729046344757,0.7299417853355408,0.9749616980552673,0.9351210594177246
46,0.5394365787506104,1.0079265832901,0.00095347024,0.09745326638221741,0.18699663877487183,0.728394091129303,0.9745326638221741,0.9349984526634216
47,0.5318732261657715,1.002697229385376,0.00095248024,0.09747472405433655,0.1870119273662567,0.7312595844268799,0.9747318625450134,0.9351210594177246
48,0.5190188884735107,0.9995548129081726,0.00095149025,0.09754061698913574,0.18718665838241577,0.731029748916626,0.9753754138946533,0.935917854309082
49,0.5340180397033691,0.9980785846710205,0.00095050025,0.09749466925859451,0.18723569810390472,0.7295740246772766,0.9748850464820862,0.9362702965736389
50,0.5216825008392334,0.9916220903396606,0.00094951026,0.09753600507974625,0.18730926513671875,0.7322862148284912,0.9754060506820679,0.9366227388381958
51,0.5183820724487305,0.9909277558326721,0.00094852026,0.09761260449886322,0.18726018071174622,0.7316120266914368,0.9761262536048889,0.9362702965736389
52,0.5220382213592529,0.9890844225883484,0.00094753026,0.09755439311265945,0.18746860325336456,0.7311063408851624,0.9755133390426636,0.9373123049736023
53,0.5506799221038818,0.9909208416938782,0.00094654027,0.09759268909692764,0.1873398870229721,0.7297579050064087,0.9759270548820496,0.9365461468696594
54,0.5232274532318115,0.9859568476676941,0.0009455503,0.09754978120326996,0.1872939169406891,0.7309530973434448,0.9755286574363708,0.9363469481468201
55,0.5188543796539307,0.9852460026741028,0.0009445603,0.09759117662906647,0.18740418553352356,0.7301103472709656,0.9759117364883423,0.93699049949646
56,0.5397505760192871,0.9817186594009399,0.0009435703,0.09765554964542389,0.18750841915607452,0.7308151721954346,0.9765552878379822,0.9375727772712708
57,0.5195889472961426,0.973661482334137,0.0009425803,0.09760190546512604,0.18758808076381683,0.731627345085144,0.9760037064552307,0.9379711747169495
58,0.5264256000518799,0.97343510389328,0.0009415903,0.09765706211328506,0.18751761317253113,0.73204106092453,0.9765859842300415,0.9375727772712708
