epoch,e_time,loss,lr,p10,p5,r1,r10,r5
0,7.015471696853638,7.5929694175720215,0.00099901,0.02093537710607052,0.03371297940611839,0.08724436908960342,0.20929063856601715,0.1687682867050171
1,5.0173985958099365,7.507386207580566,0.00099802,0.03058532439172268,0.05079903081059456,0.13913746178150177,0.3059023320674896,0.2538408935070038
2,5.041245937347412,7.414999485015869,0.0009970301,0.030619682744145393,0.0500500351190567,0.13097408413887024,0.3061688244342804,0.2501963675022125
3,5.052178144454956,7.303613662719727,0.0009960401,0.030264344066381454,0.048715174198150635,0.1244354397058487,0.30255934596061707,0.24352914094924927
4,5.0492353439331055,7.1558918952941895,0.0009950501,0.030080610886216164,0.04764401912689209,0.11978801339864731,0.30081307888031006,0.23830898106098175
5,5.043561697006226,6.93699836730957,0.0009940601,0.030187446624040604,0.04734199121594429,0.11948644369840622,0.3018720746040344,0.2367263287305832
6,5.0403523445129395,6.599551200866699,0.0009930701,0.031071802601218224,0.048894256353378296,0.12853115797042847,0.3106970191001892,0.24445489048957825
7,5.0110764503479,6.131006240844727,0.0009920801,0.0346335843205452,0.056082792580127716,0.1623138040304184,0.3463124632835388,0.280402272939682
8,5.048258066177368,5.565803050994873,0.0009910901,0.04262256249785423,0.0718933716416359,0.2211219221353531,0.4263121783733368,0.35949262976646423
9,5.022714138031006,4.98736572265625,0.0009901001,0.05308323726058006,0.09254495054483414,0.29312190413475037,0.5307225584983826,0.462694376707077
10,5.045853614807129,4.5167131423950195,0.0009891101,0.0613679476082325,0.10866505652666092,0.34957125782966614,0.6136514544487,0.5432294607162476
11,5.047131538391113,4.176772117614746,0.0009881201,0.06674614548683167,0.11904929578304291,0.38774651288986206,0.6673867106437683,0.5952441096305847
12,5.045020580291748,3.9402592182159424,0.0009871301,0.0699932649731636,0.12571930885314941,0.4157339036464691,0.700021505355835,0.6285872459411621
13,5.044553995132446,3.7587244510650635,0.0009861401,0.07214538753032684,0.1305687427520752,0.43740007281303406,0.7215263843536377,0.6526753306388855
14,5.052248001098633,3.615297794342041,0.0009851501,0.07367263734340668,0.13405849039554596,0.4528782367706299,0.7368899583816528,0.6702550649642944
15,5.037145137786865,3.493227005004883,0.0009841601,0.07478445768356323,0.13667957484722137,0.4661846160888672,0.7479615211486816,0.6834679841995239
16,5.05335807800293,3.389906883239746,0.0009831701,0.07565948367118835,0.13871526718139648,0.4761550724506378,0.7565152645111084,0.6937704086303711
17,5.050922155380249,3.3040964603424072,0.0009821801,0.0762806162238121,0.14029183983802795,0.48335063457489014,0.762799084186554,0.7011927366256714
18,5.055444717407227,3.2246687412261963,0.0009811901,0.0768246054649353,0.1415233612060547,0.49022358655929565,0.7680683732032776,0.7078739404678345
19,5.046908140182495,3.1554527282714844,0.0009802001,0.0772673711180687,0.14251595735549927,0.4951094388961792,0.7725498080253601,0.7128206491470337
20,5.048739671707153,3.094120502471924,0.0009792101,0.07757946848869324,0.14339542388916016,0.49845242500305176,0.7758647203445435,0.7168765664100647
21,5.057631015777588,3.0345871448516846,0.0009782201,0.07788266241550446,0.14405512809753418,0.5018678307533264,0.778814971446991,0.7204299569129944
22,5.049510478973389,2.9825305938720703,0.0009772301,0.0781610906124115,0.14470551908016205,0.5037941336631775,0.7818773984909058,0.7236536741256714
23,5.044299602508545,2.9311773777008057,0.00097624015,0.07840539515018463,0.14514361321926117,0.5051780939102173,0.7841286063194275,0.7260382175445557
