Model,F1@1,F1@5,F1@10,Precision@1,Precision@5,Precision@10,Recall@1,Recall@5,Recall@10
ATT2ITM,0.37369197607040405,0.19193442041675246,0.11866977244369255,0.37369197607040405,0.11516065150499344,0.065268374979496,0.37369197607040405,0.575803279876709,0.6526837348937988
BOW2ITM,0.3484242260456085,0.18039312172267172,0.11174778381655039,0.3484242260456085,0.10823587328195572,0.06146128103137016,0.3484242260456085,0.541179358959198,0.6146128177642822
GridSearch_BPR,0.016413555159402134,0.01919425600500663,0.017193606246499918,0.02039582188015393,0.013117097306211929,0.010357339197360843,0.015120198421795602,0.045876016450896534,0.07059405382344343
GridSearch_EASEᴿ,0.023238290804918443,0.027368171500076508,0.023362388215715093,0.028202308960967565,0.018746564046178648,0.014095656954370006,0.02163496320621404,0.06516956385459706,0.09451038829752348
MostPop,0.016413555159402134,0.01919425600500663,0.017193606246499918,0.02039582188015393,0.013117097306211929,0.010357339197360843,0.015120198421795602,0.045876016450896534,0.07059405382344343
USEM2ITM,0.3134002089500427,0.16814395619763262,0.1051615513553304,0.3134002089500427,0.10088637471199036,0.05783885344862938,0.3134002089500427,0.5044318437576294,0.578388512134552
