,model_version,learning_rate,final_learning_rate,batch_size,max_val_accuracy,max_val_accuracy_epoch,max_val_top_5,max_val_top_5_epoch,max_val_top_10,max_val_top_10_epoch,model_md5
0,0,0.0005,5e-06,512,0.08968152850866318,1,0.2473885416984558,41,0.3370700776576996,41,aee5e157e201edaf1ac89b9d6434252d
1,3,0.0005,5e-06,256,0.3031847178936005,73,0.5541401505470276,51,0.6598725914955139,48,e60b2c7a59b21609faae2cc242518caf
2,3,0.0005,5e-06,1024,0.30267515778541565,114,0.5515923500061035,100,0.656560480594635,77,3779910124d7187e2814e80b89f3bc5a
3,2,0.0001,1e-06,256,0.06980891525745392,2,0.2280254811048508,41,0.3177070021629333,41,098704116aa3e779f9d316f25a1b9441
4,2,0.001,1e-05,256,0.30216559767723083,258,0.5429299473762512,235,0.6591082811355591,208,76ca33659b5df65e34e8c09956644daa
5,0,0.0005,5e-06,256,0.2935031950473785,668,0.5406369566917419,679,0.656050980091095,614,81431fdbd8db9a82f9b4846341731797
6,0,0.0005,5e-06,1024,0.08611465245485306,1,0.2550318539142609,1,0.3345223069190979,1,6ec34d8038c6a99826143be3369e1e8f
7,4,0.0005,5e-06,1024,0.2672611474990845,77,0.5042037963867188,92,0.615286648273468,82,05f9a509826aa1cc4fd6747554fc4031
8,4,0.0001,1e-06,1024,0.18216560781002045,46,0.3042038083076477,37,0.3640764355659485,49,a4d01526f9e9493ad2e1f217a807e0e2
9,3,5e-05,5e-07,256,0.19159235060215,36,0.36866241693496704,56,0.4754140079021454,56,71f836712c59de36f434fbb0aeabc804
10,4,0.001,1e-05,512,0.26343947649002075,21,0.5008917450904846,40,0.6163057088851929,30,47c0cd080797a3ee0de11c6eda960605
11,2,5e-05,5e-07,256,0.06980891525745392,2,0.21503184735774994,41,0.3054777085781097,40,f725eb83717f93a5082676076c4148f1
12,4,5e-05,5e-07,512,0.17401273548603058,25,0.2973248362541199,26,0.34445860981941223,23,759efcf37c204ef44be7b6f1b97f5a7c
13,1,0.0001,1e-06,1024,0.08611465245485306,3,0.2491719722747803,6,0.33248406648635864,1,9610fd3ab10147681f74b38db895e188
14,3,5e-05,5e-07,1024,0.19515924155712128,126,0.3729936182498932,146,0.4680254757404328,146,4a5110cd098eaa399a3665b711dc2d18
15,1,0.001,1e-05,256,0.3008917272090912,319,0.5436942577362059,315,0.6583439707756042,319,3e2331a1fc89a2d5c1bc597d976937c8
16,2,0.0001,1e-06,512,0.07439490407705307,3,0.2112101912498474,41,0.3092993497848511,39,d872965e9abfcab1b41ada171dc05e3e
17,3,0.001,1e-05,256,0.3054777085781097,25,0.5495541691780089,24,0.6596178412437439,16,f08d283c548647bf5a43d56865af291e
18,1,0.0005,5e-06,512,0.08560509234666824,1,0.2499363124370575,41,0.3411464989185333,41,59f9f47699a2411eb9c26e8be3349ca3
19,1,5e-05,5e-07,256,0.07566878944635391,1,0.23006369173526764,2,0.31796178221702576,1,ddf298fb585a78230e0864bb1c0e90a9
20,3,0.0001,1e-06,1024,0.2899363040924072,436,0.5411465167999268,446,0.6545222997665405,456,2a36d5c487b0543bb0482de61e25bdef
