epoch,MAE,NDCG@10,RC@10,RC@5,e_time,loss,lr,val_MAE,val_NDCG@10,val_RC@10,val_RC@5,val_e_time,val_loss,val_lr
0,0.45819446444511414,0.017402511090040207,0.03167634457349777,0.02086430788040161,230.54419922828674,7.439815998077393,4.99505e-05,NA,NA,NA,NA,NA,NA,NA
1,0.4415825307369232,0.036410339176654816,0.06277994066476822,0.043926090002059937,227.3049499988556,7.225427627563477,4.9901002e-05,NA,NA,NA,NA,NA,NA,NA
2,0.44464167952537537,0.06687694042921066,0.10355009138584137,0.07909969240427017,227.28575944900513,6.974465847015381,4.9851504e-05,NA,NA,NA,NA,NA,NA,NA
3,0.448723703622818,0.09308035671710968,0.1412297487258911,0.10865103453397751,227.4285933971405,6.702714443206787,4.9802005e-05,NA,NA,NA,NA,NA,NA,NA
4,0.4521004855632782,0.11482652276754379,0.17452847957611084,0.13359235227108002,228.05712008476257,6.464379787445068,4.9752507e-05,NA,NA,NA,NA,NA,NA,NA
5,0.45512011647224426,0.1349526047706604,0.20409852266311646,0.1576663702726364,228.1350290775299,6.252458572387695,4.970301e-05,NA,NA,NA,NA,NA,NA,NA
6,0.4575944244861603,0.15406082570552826,0.23260489106178284,0.17966915667057037,227.26529145240784,6.062068462371826,4.965351e-05,NA,NA,NA,NA,NA,NA,NA
7,0.45962321758270264,0.17131026089191437,0.25710204243659973,0.1997690349817276,228.02560019493103,5.895899295806885,4.9604012e-05,NA,NA,NA,NA,NA,NA,NA
8,0.4613504111766815,0.1858067363500595,0.27798038721084595,0.21742363274097443,227.26075887680054,5.7465925216674805,4.9554514e-05,NA,NA,NA,NA,NA,NA,NA
9,0.46246832609176636,0.1991238296031952,0.297745943069458,0.23292048275470734,227.3167848587036,5.616800308227539,4.9505015e-05,NA,NA,NA,NA,NA,NA,NA
10,0.4638369083404541,0.21038275957107544,0.3142246603965759,0.24672482907772064,227.32659792900085,5.503968715667725,4.9455517e-05,NA,NA,NA,NA,NA,NA,NA
11,0.4645325839519501,0.22198359668254852,0.33065661787986755,0.2601013779640198,227.32967233657837,5.401275157928467,4.940602e-05,NA,NA,NA,NA,NA,NA,NA
12,0.4651101529598236,0.23222360014915466,0.3449589014053345,0.27254512906074524,227.3184254169464,5.309149265289307,4.935652e-05,NA,NA,NA,NA,NA,NA,NA
13,0.46549081802368164,0.24092905223369598,0.35715487599372864,0.2827867567539215,227.41385650634766,5.226101875305176,4.9307022e-05,NA,NA,NA,NA,NA,NA,NA
14,0.46585655212402344,0.2506641745567322,0.37020179629325867,0.29420194029808044,227.37573504447937,5.145811557769775,4.9257524e-05,NA,NA,NA,NA,NA,NA,NA
15,0.4661597013473511,0.25753405690193176,0.37953871488571167,0.30265286564826965,227.37385654449463,5.081823825836182,4.9208025e-05,NA,NA,NA,NA,NA,NA,NA
16,0.46610984206199646,0.26552876830101013,0.39008426666259766,0.3120856285095215,227.4110927581787,5.015926361083984,4.9158527e-05,NA,NA,NA,NA,NA,NA,NA
17,0.46636149287223816,0.272427499294281,0.39899569749832153,0.3197721242904663,227.4181342124939,4.95538330078125,4.910903e-05,NA,NA,NA,NA,NA,NA,NA
18,0.46616947650909424,0.2787858843803406,0.4079352021217346,0.32723885774612427,227.40100502967834,4.902598857879639,4.905953e-05,NA,NA,NA,NA,NA,NA,NA
19,0.4661068320274353,0.28462889790534973,0.4149063527584076,0.33444610238075256,227.37254738807678,4.8547821044921875,4.9010032e-05,NA,NA,NA,NA,NA,NA,NA
20,0.46607738733291626,0.2908349335193634,0.42305803298950195,0.3410782516002655,227.33321046829224,4.803969860076904,4.8960534e-05,NA,NA,NA,NA,NA,NA,NA
21,0.466032475233078,0.2955840229988098,0.42927876114845276,0.3469693660736084,227.33420324325562,4.765066623687744,4.8911035e-05,NA,NA,NA,NA,NA,NA,NA
22,0.46586742997169495,0.3004657030105591,0.4351441562175751,0.35275760293006897,227.37315368652344,4.727358341217041,4.8861537e-05,NA,NA,NA,NA,NA,NA,NA
23,0.4656803607940674,0.305139422416687,0.4413788914680481,0.35843828320503235,227.3199019432068,4.6898417472839355,4.881204e-05,NA,NA,NA,NA,NA,NA,NA
24,0.465497761964798,0.30970507860183716,0.4474196135997772,0.36336156725883484,227.35465216636658,4.652076721191406,4.876254e-05,NA,NA,NA,NA,NA,NA,NA
25,0.46525657176971436,0.3135097920894623,0.4516368806362152,0.36803939938545227,227.38246965408325,4.622053146362305,4.8713042e-05,NA,NA,NA,NA,NA,NA,NA
26,0.46516865491867065,0.31763604283332825,0.4567752182483673,0.37284576892852783,227.66347765922546,4.588190078735352,4.8663544e-05,NA,NA,NA,NA,NA,NA,NA
27,0.4650682210922241,0.32114747166633606,0.46080783009529114,0.3765651285648346,227.9122507572174,4.562698841094971,4.8614045e-05,NA,NA,NA,NA,NA,NA,NA
28,0.46473097801208496,0.32459545135498047,0.4654342234134674,0.3807636797428131,228.9698121547699,4.535414218902588,4.8564547e-05,NA,NA,NA,NA,NA,NA,NA
29,0.4646025598049164,0.3275066614151001,0.4685574173927307,0.384422242641449,228.01869201660156,4.51298189163208,4.851505e-05,NA,NA,NA,NA,NA,NA,NA
30,0.46462881565093994,0.3311474025249481,0.4727630317211151,0.38771378993988037,227.7715950012207,4.488743782043457,4.846555e-05,NA,NA,NA,NA,NA,NA,NA
31,0.46439969539642334,0.33403217792510986,0.4763233959674835,0.39138635993003845,227.82446765899658,4.464842796325684,4.8416052e-05,NA,NA,NA,NA,NA,NA,NA
32,0.46432173252105713,0.33673232793807983,0.4794676601886749,0.3947223126888275,227.838520526886,4.443384647369385,4.8366554e-05,NA,NA,NA,NA,NA,NA,NA
33,0.46414560079574585,0.3394026458263397,0.4829649031162262,0.3977496922016144,227.77386856079102,4.423992156982422,4.8317055e-05,NA,NA,NA,NA,NA,NA,NA
34,0.46404218673706055,0.34212106466293335,0.4863031804561615,0.40070459246635437,227.76062989234924,4.400601863861084,4.8267557e-05,NA,NA,NA,NA,NA,NA,NA
35,0.4638557732105255,0.3450103998184204,0.4901067018508911,0.404293030500412,227.747079372406,4.383981227874756,4.821806e-05,NA,NA,NA,NA,NA,NA,NA
36,0.4637521505355835,0.34724459052085876,0.49247482419013977,0.40764766931533813,227.89247608184814,4.364090442657471,4.816856e-05,NA,NA,NA,NA,NA,NA,NA
37,0.46380001306533813,0.34984302520751953,0.4956822097301483,0.41030803322792053,227.7654218673706,4.344920635223389,4.8119062e-05,NA,NA,NA,NA,NA,NA,NA
38,0.46362605690956116,0.3518407642841339,0.4978305697441101,0.4128164052963257,227.93943405151367,4.330600738525391,4.8069563e-05,NA,NA,NA,NA,NA,NA,NA
39,0.4635816216468811,0.35368087887763977,0.5003670454025269,0.41454634070396423,227.88860416412354,4.314535140991211,4.8020065e-05,NA,NA,NA,NA,NA,NA,NA
40,0.46337229013442993,0.3563103675842285,0.5029805898666382,0.41776540875434875,228.00372767448425,4.298697471618652,4.7970567e-05,NA,NA,NA,NA,NA,NA,NA
41,0.4633021950721741,0.3574942648410797,0.5043201446533203,0.419018417596817,227.84889888763428,4.283626079559326,4.792107e-05,NA,NA,NA,NA,NA,NA,NA
42,0.4631343185901642,0.35973894596099854,0.5072633624076843,0.42113640904426575,227.706787109375,4.268845558166504,4.787157e-05,NA,NA,NA,NA,NA,NA,NA
43,0.46325135231018066,0.3608778715133667,0.5081049203872681,0.4220083951950073,227.6536078453064,4.258756160736084,4.782207e-05,NA,NA,NA,NA,NA,NA,NA
44,0.46294692158699036,0.36297836899757385,0.5102953910827637,0.4257137179374695,227.67215514183044,4.24485445022583,4.7772573e-05,NA,NA,NA,NA,NA,NA,NA
45,0.46307042241096497,0.36491721868515015,0.5132690072059631,0.4269386827945709,227.6289303302765,4.22939920425415,4.7723075e-05,NA,NA,NA,NA,NA,NA,NA
46,0.4632008671760559,0.36649301648139954,0.5140684843063354,0.4286849796772003,227.8182656764984,4.2175798416137695,4.7673577e-05,NA,NA,NA,NA,NA,NA,NA
47,0.4627538025379181,0.36806052923202515,0.5164974331855774,0.4315977990627289,227.7766628265381,4.2051215171813965,4.762408e-05,NA,NA,NA,NA,NA,NA,NA
48,0.46277856826782227,0.36930790543556213,0.5186247825622559,0.43295836448669434,227.9781711101532,4.194192886352539,4.757458e-05,NA,NA,NA,NA,NA,NA,NA
49,0.46281445026397705,0.3704271614551544,0.5199642777442932,0.43407580256462097,227.62097692489624,4.186009407043457,4.752508e-05,NA,NA,NA,NA,NA,NA,NA
50,0.4626598656177521,0.37230104207992554,0.5220986604690552,0.43623587489128113,228.0009834766388,4.1707234382629395,4.7475583e-05,NA,NA,NA,NA,NA,NA,NA
51,0.4626424014568329,0.37326493859291077,0.5233633518218994,0.4380218982696533,227.89938592910767,4.160303115844727,4.7426085e-05,NA,NA,NA,NA,NA,NA,NA
52,0.4625636637210846,0.3749389946460724,0.5252288579940796,0.43972375988960266,227.63838291168213,4.150219917297363,4.7376587e-05,NA,NA,NA,NA,NA,NA,NA
53,0.46260616183280945,0.3762170076370239,0.526556670665741,0.44093239307403564,227.49846529960632,4.137669086456299,4.732709e-05,NA,NA,NA,NA,NA,NA,NA
54,0.46241456270217896,0.377387136220932,0.5278050303459167,0.4422064423561096,227.97692441940308,4.129030704498291,4.727759e-05,NA,NA,NA,NA,NA,NA,NA
55,0.46244680881500244,0.37828654050827026,0.5285554528236389,0.44317659735679626,228.12140226364136,4.121918201446533,4.722809e-05,NA,NA,NA,NA,NA,NA,NA
56,0.4625007212162018,0.3797992765903473,0.5305892825126648,0.4451800584793091,228.22235655784607,4.110870361328125,4.7178593e-05,NA,NA,NA,NA,NA,NA,NA
57,0.46233415603637695,0.3810872733592987,0.5320526957511902,0.4469216763973236,227.8659245967865,4.098352909088135,4.7129095e-05,NA,NA,NA,NA,NA,NA,NA
58,0.4623733460903168,0.38220658898353577,0.5334693789482117,0.4476674199104309,227.92325949668884,4.092493057250977,4.7079597e-05,NA,NA,NA,NA,NA,NA,NA
59,0.4623495042324066,0.38256388902664185,0.5336704254150391,0.4480765163898468,229.07653331756592,4.084737777709961,4.70301e-05,NA,NA,NA,NA,NA,NA,NA
60,0.4621276259422302,0.38397714495658875,0.535276472568512,0.4500565826892853,227.98711848258972,4.074955940246582,4.69806e-05,NA,NA,NA,NA,NA,NA,NA
61,0.46206966042518616,0.3854517340660095,0.5374061465263367,0.4513493478298187,228.21713209152222,4.063595294952393,4.69311e-05,NA,NA,NA,NA,NA,NA,NA
