epoch,NDCG10,e_time,f1,loss,lr,p10,p5,r1,r10,r5
0,0.24257442355155945,4.077038049697876,0.005875611212104559,0.05182763561606407,4.99505e-05,0.04418480023741722,0.05802329629659653,0.0941464900970459,0.44171008467674255,0.2901930809020996
1,0.4028206169605255,1.4505317211151123,0.016957571730017662,0.027189267799258232,4.9901002e-05,0.06463222950696945,0.09496474266052246,0.21774441003799438,0.6463070511817932,0.4748084545135498
2,0.5140103101730347,1.4302411079406738,0.1534828245639801,0.023869819939136505,4.9851504e-05,0.07231997698545456,0.1201961562037468,0.33452343940734863,0.7232608199119568,0.6009653806686401
3,0.6055842638015747,1.4340541362762451,0.3043203353881836,0.020728779956698418,4.9802005e-05,0.07863623648881912,0.13972723484039307,0.43556544184684753,0.7863469123840332,0.6986821889877319
4,0.6589945554733276,1.4350666999816895,0.39955461025238037,0.01849563606083393,4.9752507e-05,0.08276434987783432,0.15007662773132324,0.4972571134567261,0.8275666832923889,0.7503983974456787
5,0.6929103136062622,1.4245142936706543,0.45777806639671326,0.01691720448434353,4.970301e-05,0.0855240598320961,0.15599752962589264,0.5372050404548645,0.8553324937820435,0.7800030708312988
6,0.7183583974838257,1.419661283493042,0.4954354465007782,0.015739258378744125,4.965351e-05,0.0874471515417099,0.16062825918197632,0.567192792892456,0.8743793964385986,0.8030953407287598
7,0.737261176109314,1.4281792640686035,0.5235379934310913,0.014829246327280998,4.9604012e-05,0.08896567672491074,0.16451118886470795,0.5892123579978943,0.8896260857582092,0.82261723279953
8,0.7502160668373108,1.421997308731079,0.5412800312042236,0.014165112748742104,4.9554514e-05,0.09004290401935577,0.16666565835475922,0.6045510172843933,0.9004597067832947,0.8333282470703125
9,0.7633716464042664,1.4254400730133057,0.5594715476036072,0.013604752719402313,4.9505015e-05,0.09083053469657898,0.16901013255119324,0.6212687492370605,0.9082745909690857,0.845050573348999
