epoch,NDCG@10,e_time,f1,loss,lr,p10,p5,r1,r10,r5,val_NDCG@10,val_e_time,val_f1,val_loss,val_lr,val_p10,val_p5,val_r1,val_r10,val_r5
0,0.05916135385632515,21.32305669784546,0.0040042949840426445,6.627204895019531,9.9901e-05,0.009996889159083366,0.013892440125346184,0.0286952443420887,0.09996888041496277,0.06946218758821487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0.13916617631912231,18.61129379272461,0.00500702066347003,5.925764083862305,9.9802004e-05,0.021230673417448997,0.03239152207970619,0.08134344965219498,0.21231137216091156,0.16196231544017792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,0.21575023233890533,18.626694917678833,0.006544648203998804,5.345619201660156,9.970301e-05,0.031020408496260643,0.04984463378787041,0.1378374993801117,0.31020867824554443,0.2492092251777649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,0.2685320973396301,18.7000675201416,0.008715683594346046,4.986074924468994,9.960401e-05,0.03704046085476875,0.061619989573955536,0.18223199248313904,0.3704185485839844,0.3080953359603882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,0.3041612207889557,18.703972339630127,0.010035852901637554,4.7428789138793945,9.9505014e-05,0.04090209677815437,0.06929869204759598,0.2137976884841919,0.40901637077331543,0.3464981019496918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,0.32692793011665344,18.712446451187134,0.010701864957809448,4.581395626068115,9.940602e-05,0.04328949749469757,0.07411623001098633,0.23471297323703766,0.4328857362270355,0.37058109045028687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,0.34375277161598206,18.733294248580933,0.011010955087840557,4.46699333190918,9.930702e-05,0.04499875381588936,0.0777493268251419,0.25052833557128906,0.4499969780445099,0.3887467086315155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,0.3542252480983734,18.755183935165405,0.011169546283781528,4.387202739715576,9.9208024e-05,0.04596255347132683,0.08008934557437897,0.2608025074005127,0.4596208930015564,0.4004468321800232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,0.3629593551158905,18.729763746261597,0.01134599931538105,4.328507900238037,9.910903e-05,0.04689706861972809,0.0816723182797432,0.2691909372806549,0.46897077560424805,0.4083661139011383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,0.3695988059043884,18.74053645133972,0.011692655272781849,4.2732744216918945,9.901003e-05,0.04764629527926445,0.08334440737962723,0.27492254972457886,0.4764581024646759,0.4167127311229706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,0.374891459941864,18.72556734085083,0.01175961084663868,4.2375874519348145,9.8911034e-05,0.04814513027667999,0.08425753563642502,0.2801060974597931,0.48145586252212524,0.4212924540042877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,0.37922075390815735,18.73160696029663,0.01213405467569828,4.200912952423096,9.881204e-05,0.048682063817977905,0.08540669828653336,0.28344565629959106,0.48682981729507446,0.42702871561050415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,0.3827750086784363,18.750563144683838,0.01192945521324873,4.173839569091797,9.871304e-05,0.048995114862918854,0.08583579957485199,0.28774669766426086,0.48995110392570496,0.42918387055397034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,0.3869573771953583,18.748178720474243,0.012134185992181301,4.147818565368652,9.8614044e-05,0.04949304461479187,0.08687722682952881,0.29105839133262634,0.4949302673339844,0.4343859851360321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,0.3904128074645996,18.737609386444092,0.012409471906721592,4.11809778213501,9.851505e-05,0.04980842024087906,0.08741788566112518,0.29473239183425903,0.4980747401714325,0.4370845854282379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,0.39359983801841736,18.773499250411987,0.012355922721326351,4.099165439605713,9.841605e-05,0.050110768526792526,0.08812664449214935,0.2978908121585846,0.5011077523231506,0.4406285285949707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,0.39571431279182434,18.763535976409912,0.01256068516522646,4.078709602355957,9.8317054e-05,0.05038343742489815,0.0885520726442337,0.29973477125167847,0.5038342475891113,0.4427558183670044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,0.39775222539901733,18.772989511489868,0.012468604370951653,4.05912446975708,9.821806e-05,0.050589170306921005,0.0891558974981308,0.3009888529777527,0.5058872103691101,0.44578418135643005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,0.40119731426239014,18.7800874710083,0.012692664749920368,4.036251544952393,9.811906e-05,0.051005829125642776,0.08981175720691681,0.3041008412837982,0.5100674629211426,0.4490494430065155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,0.4037840664386749,18.743805408477783,0.012775978073477745,4.019129276275635,9.8020064e-05,0.0512324757874012,0.09039325267076492,0.306855171918869,0.5123294591903687,0.45197099447250366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
