epoch,CO2(gr),e_time,loss,lr,p10,p5,r1,r10,r5,val_CO2(gr),val_e_time,val_loss,val_lr,val_p10,val_p5,val_r1,val_r10,val_r5
0,0.04896116820664739,2.3397927284240723,5.213964462280273,0.00099901,0.02735791727900505,0.03831438720226288,0.07635153830051422,0.2735791504383087,0.1915719360113144,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0.05803194621688722,0.28748106956481934,5.148322582244873,0.00099802,0.046132516115903854,0.0735902488231659,0.19512060284614563,0.46132519841194153,0.3679512143135071,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,0.06714716733173301,0.29103541374206543,5.094292163848877,0.0009970301,0.04857221245765686,0.07930690050125122,0.22120876610279083,0.48572221398353577,0.3965345025062561,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,0.0747787989006239,0.29008030891418457,5.017169952392578,0.0009960401,0.05056557059288025,0.0820460170507431,0.22755752503871918,0.5056556463241577,0.4102301001548767,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,0.08253906595296086,0.2885885238647461,4.969807147979736,0.0009950501,0.05237593874335289,0.08472415059804916,0.23102301359176636,0.5237593650817871,0.42362073063850403,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,0.09002064677886396,0.2884643077850342,4.888104438781738,0.0009940601,0.05423066020011902,0.08697532117366791,0.23160521686077118,0.5423066020011902,0.43487662076950073,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,0.09879101031356705,0.2898573875427246,4.800195693969727,0.0009930701,0.05653729662299156,0.08988633751869202,0.2341558039188385,0.565372884273529,0.4494316577911377,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,0.10721340232752079,0.2910168170928955,4.672959804534912,0.0009920801,0.05934572592377663,0.09390631318092346,0.23967285454273224,0.5934571623802185,0.46953147649765015,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,0.1145191686369796,0.2885737419128418,4.523839950561523,0.0009910901,0.061729978770017624,0.09758803248405457,0.24704740941524506,0.6172996759414673,0.48794010281562805,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,0.12162090813527472,0.2914438247680664,4.308678150177002,0.0009901001,0.06462157517671585,0.10142500698566437,0.2580537796020508,0.6462156772613525,0.5071250200271606,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,0.12885135063445866,0.2885622978210449,4.050719738006592,0.0009891101,0.06714166700839996,0.10713057965040207,0.2769891917705536,0.671416699886322,0.5356528759002686,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,0.13693487535795335,0.2893085479736328,3.727935314178467,0.0009881201,0.07067091017961502,0.11543665826320648,0.30823397636413574,0.7067092061042786,0.5771832466125488,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,0.14585430372079353,0.2879526615142822,3.4499216079711914,0.0009871301,0.07381203025579453,0.12491270154714584,0.3515664041042328,0.7381203174591064,0.6245633363723755,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,0.15359963527650816,0.2888331413269043,3.207808256149292,0.0009861401,0.07705849409103394,0.1341724395751953,0.3922373056411743,0.7705850005149841,0.6708621978759766,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,0.1616097071912164,0.28823161125183105,3.062389850616455,0.0009851501,0.07855004817247391,0.13880787789821625,0.4171333611011505,0.7855004072189331,0.6940393447875977,NA,NA,NA,NA,NA,NA,NA,NA,NA
