epoch,loss,lr,mean_absolute_error
0,582.1608276367188,0.000499505,18.907184600830078
1,125.75420379638672,0.00049901,8.73853874206543
2,111.58800506591797,0.00049851503,8.256134986877441
3,98.95394134521484,0.00049802003,7.7848992347717285
4,79.373779296875,0.00049752503,7.010781288146973
5,55.268348693847656,0.00049703004,6.007214546203613
6,46.5145378112793,0.00049653504,5.4514079093933105
7,42.57292938232422,0.00049604004,5.182344436645508
8,39.7548942565918,0.00049554504,4.981950759887695
9,37.829002380371094,0.00049505004,4.85089111328125
10,36.01358413696289,0.00049455505,4.713397026062012
11,34.54927062988281,0.00049406005,4.621837615966797
12,33.50859069824219,0.00049356505,4.539597988128662
13,32.6435432434082,0.00049307005,4.490560054779053
14,30.796802520751953,0.00049257505,4.357168674468994
15,30.44051170349121,0.00049208006,4.3298773765563965
16,29.268882751464844,0.00049158506,4.242962837219238
17,28.230329513549805,0.00049109006,4.167531967163086
18,27.409276962280273,0.00049059506,4.1012864112854
