epoch,loss,lr,mean_absolute_error
0,467.3573303222656,0.000499505,16.354198455810547
1,105.54646301269531,0.00049901,8.089683532714844
2,59.4578742980957,0.00049851503,6.123240947723389
3,45.544010162353516,0.00049802003,5.305338382720947
4,41.62352752685547,0.00049752503,5.036561965942383
5,39.36346435546875,0.00049703004,4.904729843139648
6,37.69328689575195,0.00049653504,4.797137260437012
7,36.318572998046875,0.00049604004,4.711995601654053
8,34.91758728027344,0.00049554504,4.628145217895508
9,33.28487014770508,0.00049505004,4.5256781578063965
10,32.294803619384766,0.00049455505,4.466022491455078
11,31.43508529663086,0.00049406005,4.402941703796387
12,30.062091827392578,0.00049356505,4.3057332038879395
13,29.222349166870117,0.00049307005,4.244936943054199
14,28.02383804321289,0.00049257505,4.162853240966797
