epoch,loss,lr,mean_absolute_error
0,64.85585021972656,9.9901e-05,5.495570659637451
1,31.223222732543945,9.9802004e-05,4.341282367706299
2,29.264787673950195,9.970301e-05,4.205355167388916
3,28.116294860839844,9.960401e-05,4.127453327178955
4,27.218130111694336,9.9505014e-05,4.065180778503418
5,26.474878311157227,9.940602e-05,4.014729976654053
6,25.832645416259766,9.930702e-05,3.9720537662506104
7,25.249940872192383,9.9208024e-05,3.9299728870391846
8,24.713890075683594,9.910903e-05,3.8916523456573486
9,24.19968605041504,9.901003e-05,3.853290319442749
10,23.689430236816406,9.8911034e-05,3.8151187896728516
11,23.26411247253418,9.881204e-05,3.7825872898101807
