Model,F1@1,F1@5,F1@10,Precision@1,Precision@5,Precision@10,Recall@1,Recall@5,Recall@10
ATT2ITM,0.4017823040485382,0.1833227276802063,0.11131300216863961,0.4017823040485382,0.10999363660812378,0.061222150921821594,0.4017823040485382,0.5499681830406189,0.6122215390205383
BOW2ITM,0.3413112759590149,0.16804583453469804,0.10193854521128755,0.3413112759590149,0.10082750022411346,0.05606620013713837,0.3413112759590149,0.5041375160217285,0.5606619715690613
GridSearch_BPR,0.001559226233981387,0.007082065881948949,0.007048912691362618,0.001607952053793305,0.004356088291185488,0.003932173658821826,0.0015348633240754275,0.020062856307557376,0.03634946157969108
GridSearch_EASEᴿ,0.07260147151975833,0.04684188133976158,0.03404223924981182,0.07528139160941383,0.028855430492617656,0.019061540710422015,0.0713589631145544,0.1323198362812454,0.17285971836476152
MostPop,0.001559226233981387,0.007082065881948949,0.007048912691362618,0.001607952053793305,0.004356088291185488,0.003932173658821826,0.0015348633240754275,0.020062856307557376,0.03634946157969108
USEM2ITM,0.0014003819087520242,0.006874601899956659,0.00874949366716314,0.0014003819087520242,0.004124761093407869,0.004812221508473158,0.0014003819087520242,0.02062380686402321,0.04812221601605415
