epoch,accuracy,loss,lr,top_10,top_5
0,0.06882338225841522,5.19706916809082,0.00099901,0.26564452052116394,0.1867973953485489
1,0.16821758449077606,5.154398441314697,0.00099802,0.4421059191226959,0.33918312191963196
2,0.19135648012161255,5.111660480499268,0.0009970301,0.4648388624191284,0.3676929771900177
3,0.19744566082954407,5.056528568267822,0.0009960401,0.4802960157394409,0.378903329372406
4,0.20025606453418732,4.986944198608398,0.0009950501,0.494004487991333,0.38895827531814575
5,0.20028728246688843,4.935603618621826,0.0009940601,0.5038096308708191,0.39489132165908813
6,0.2022857815027237,4.867733955383301,0.0009930701,0.5167686939239502,0.4042280912399292
7,0.2027229517698288,4.780282974243164,0.0009920801,0.5329440236091614,0.41340869665145874
8,0.2044716477394104,4.700625419616699,0.0009910901,0.5511178970336914,0.4248688519001007
9,0.20781289041042328,4.58044958114624,0.0009901001,0.5678865909576416,0.43929553031921387
10,0.2130277305841446,4.446712970733643,0.0009891101,0.5859667658805847,0.4531289041042328
11,0.2233637273311615,4.280204772949219,0.0009881201,0.6010180115699768,0.47005370259284973
12,0.237134650349617,4.106184959411621,0.0009871301,0.6217524409294128,0.48947665095329285
13,0.2580564618110657,3.90759015083313,0.0009861401,0.6458593606948853,0.5150824189186096
14,0.2771046757698059,3.745750904083252,0.0009851501,0.6597239375114441,0.5370347499847412
15,0.29655882716178894,3.5853235721588135,0.0009841601,0.6786472797393799,0.5619847774505615
16,0.31076693534851074,3.464832305908203,0.0009831701,0.6931676268577576,0.5793154835700989
17,0.32116538286209106,3.3840980529785156,0.0009821801,0.702441930770874,0.5890269875526428
18,0.329003244638443,3.3225440979003906,0.0009811901,0.7104671597480774,0.5966150164604187
19,0.3333437442779541,3.281829357147217,0.0009802001,0.715463399887085,0.6024856567382812
20,0.34040096402168274,3.2274787425994873,0.0009792101,0.7243629693984985,0.6101361513137817
21,0.3431176543235779,3.204709053039551,0.0009782201,0.7257369756698608,0.6119472980499268
22,0.34736448526382446,3.174412250518799,0.0009772301,0.7292968034744263,0.614820122718811
23,0.3478953242301941,3.150480270385742,0.00097624015,0.7307644486427307,0.6183174848556519
24,0.3536098003387451,3.118443727493286,0.00097525015,0.7344179153442383,0.6242817640304565
25,0.35460904240608215,3.0922276973724365,0.00097426015,0.736478865146637,0.6267486810684204
26,0.35254809260368347,3.0807814598083496,0.00097327016,0.7369160652160645,0.6258118748664856
27,0.3577941656112671,3.0482728481292725,0.00097228016,0.7427554130554199,0.6332125663757324
28,0.35941794514656067,3.034770965576172,0.00097129017,0.7421621084213257,0.6344928741455078
29,0.362009733915329,3.018989324569702,0.00097030017,0.7421621084213257,0.6340557336807251
30,0.3624469041824341,3.008699417114258,0.0009693102,0.7435048818588257,0.6356794834136963
31,0.36241570115089417,2.989898204803467,0.0009683202,0.7445353269577026,0.6368660926818848
32,0.3650699555873871,2.9842007160186768,0.0009673302,0.7447227239608765,0.6358356475830078
33,0.36666250228881836,2.9671435356140137,0.0009663402,0.7471895813941956,0.6410504579544067
34,0.36831751465797424,2.953021764755249,0.0009653502,0.7496564984321594,0.640613317489624
35,0.36794278025627136,2.9421844482421875,0.0009643602,0.7480015158653259,0.6414876580238342
36,0.37346988916397095,2.9183433055877686,0.0009633702,0.7517174482345581,0.6445165872573853
37,0.3736884891986847,2.911365509033203,0.0009623802,0.7526230216026306,0.647170901298523
38,0.3728453516960144,2.898979663848877,0.0009613902,0.7530914545059204,0.6486073136329651
39,0.3763739764690399,2.8929026126861572,0.0009604002,0.7523419857025146,0.6478890776634216
40,0.3746252954006195,2.8902270793914795,0.0009594102,0.7527167201042175,0.6458905935287476
41,0.378091424703598,2.8764491081237793,0.0009584202,0.7521858811378479,0.6486073136329651
42,0.3770297169685364,2.868377685546875,0.0009574302,0.7550587058067322,0.6498251557350159
43,0.37774795293807983,2.859034538269043,0.0009564402,0.7564014196395874,0.650199830532074
44,0.3788096308708191,2.8620681762695312,0.00095545023,0.7544341683387756,0.6487946510314941
45,0.37905946373939514,2.8421437740325928,0.00095446024,0.7560892105102539,0.6518861055374146
46,0.3788096308708191,2.838578701019287,0.00095347024,0.7569947242736816,0.6523857116699219
47,0.38243192434310913,2.8244547843933105,0.00095248024,0.7590557336807251,0.6562265753746033
48,0.3811204135417938,2.8239991664886475,0.00095149025,0.7574319243431091,0.6526979804039001
49,0.37984010577201843,2.816547155380249,0.00095050025,0.7583062648773193,0.6540095210075378
50,0.3819322884082794,2.8065383434295654,0.00094951026,0.7594304084777832,0.6545403599739075
