epoch,loss,lr,output_rst_accuracy,output_rst_loss,output_rst_top_10,output_rst_top_5,valor_model_loss,valor_model_mean_absolute_error
0,7.292064666748047,0.000499505,0.1376403123140335,6.811252117156982,0.2814795970916748,0.2317686527967453,0.48080894351005554,0.5003083944320679
1,5.078430652618408,0.00049901,0.2898922860622406,4.771257400512695,0.5376201272010803,0.4624764919281006,0.30717483162879944,0.4242706596851349
2,4.257573127746582,0.00049851503,0.36025840044021606,3.9701523780822754,0.6383472681045532,0.5568809509277344,0.2874286472797394,0.41099289059638977
3,3.8642218112945557,0.00049802003,0.4095287322998047,3.5915071964263916,0.6879209280014038,0.6115670800209045,0.2727128267288208,0.40071922540664673
4,3.5883736610412598,0.00049752503,0.44898754358291626,3.3270280361175537,0.7202240824699402,0.6497387290000916,0.2613525390625,0.3924582600593567
5,3.3843929767608643,0.00049703004,0.4793229401111603,3.1333959102630615,0.7415839433670044,0.6759424805641174,0.25099465250968933,0.38521310687065125
6,3.2213404178619385,0.00049653504,0.5041519999504089,2.979179859161377,0.7569002509117126,0.6950252652168274,0.24215605854988098,0.37860777974128723
7,3.0909080505371094,0.00049604004,0.5240406394004822,2.85701847076416,0.767777144908905,0.7094437479972839,0.23389245569705963,0.3724035918712616
8,2.979618787765503,0.00049554504,0.5404932498931885,2.7525949478149414,0.7767345309257507,0.7210494875907898,0.22702641785144806,0.36677291989326477
9,2.885043144226074,0.00049505004,0.5549283027648926,2.6653945446014404,0.7834058403968811,0.730851948261261,0.21965065598487854,0.3609624207019806
