epoch,NDCG@10,e_time,f1,loss,lr,p10,p5,r1,r10,r5,val_NDCG@10,val_e_time,val_f1,val_loss,val_lr,val_p10,val_p5,val_r1,val_r10,val_r5
0,0.01536667998880148,212.36886763572693,0.0009287599241361022,7.995612621307373,9.9901e-06,0.0026252325624227524,0.00353433471173048,0.007524051703512669,0.026252323761582375,0.01767168566584587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0.027691589668393135,210.37143898010254,0.0012685373658314347,7.803988933563232,9.9802e-06,0.004657512530684471,0.00645646033808589,0.013734249398112297,0.04657510668039322,0.03228229656815529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,0.03826529160141945,210.3781383037567,0.001282785669900477,7.627793788909912,9.9703e-06,0.006309666205197573,0.008926786482334137,0.019615639001131058,0.06309664994478226,0.04463527724146843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,0.0514037124812603,210.37391304969788,0.0013981375377625227,7.3905415534973145,9.9604e-06,0.008358586579561234,0.012001602910459042,0.026956714689731598,0.08358727395534515,0.06000668555498123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,0.06445187330245972,210.37011647224426,0.0016188299050554633,7.160745143890381,9.9505005e-06,0.01038619689643383,0.015064321458339691,0.03439684584736824,0.10386190563440323,0.07532168924808502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,0.07728541642427444,210.42032527923584,0.001887989230453968,6.977553844451904,9.940601e-06,0.012336201965808868,0.018014807254076004,0.04187824949622154,0.12335923314094543,0.09007400274276733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,0.08910560607910156,210.38117742538452,0.002190104452893138,6.8207526206970215,9.930701e-06,0.01406456995755434,0.020806768909096718,0.049143657088279724,0.1406429558992386,0.10403112322092056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,0.1002950593829155,210.46095728874207,0.0025189213920384645,6.684484481811523,9.920801e-06,0.015678051859140396,0.02349473349750042,0.05615454912185669,0.15678203105926514,0.11747096478939056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,0.11083605140447617,210.42699551582336,0.0028471993282437325,6.561037063598633,9.910901e-06,0.017253180965781212,0.025955958291888237,0.0624789334833622,0.172530397772789,0.12978267669677734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,0.12066934257745743,210.41921710968018,0.0031146397814154625,6.4508867263793945,9.901001e-06,0.018624404445290565,0.028217429295182228,0.06901519000530243,0.18623988330364227,0.14108595252037048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,0.12978136539459229,210.46940970420837,0.003322501666843891,6.354325294494629,9.891101e-06,0.019939355552196503,0.030334198847413063,0.07479202002286911,0.1993963122367859,0.15166832506656647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,0.13827063143253326,210.42949628829956,0.0035019267816096544,6.268518924713135,9.881202e-06,0.021108901128172874,0.03230733796954155,0.08050969243049622,0.21108755469322205,0.16153529286384583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,0.14623388648033142,210.43400073051453,0.0036748540587723255,6.19030237197876,9.871302e-06,0.022168776020407677,0.0341389998793602,0.08618059009313583,0.2216864377260208,0.17069238424301147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,0.15322954952716827,210.40189957618713,0.003780937287956476,6.122329235076904,9.861402e-06,0.02318134717643261,0.0357789546251297,0.09056515246629715,0.23181205987930298,0.1788933128118515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,0.16004295647144318,210.48911333084106,0.0038855127058923244,6.059476852416992,9.851502e-06,0.02406155690550804,0.037309885025024414,0.09559494256973267,0.24061694741249084,0.1865466833114624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,0.1668039709329605,210.3869125843048,0.00398450531065464,6.002647876739502,9.841602e-06,0.024969307705760002,0.038851551711559296,0.10029179602861404,0.2496928572654724,0.19426196813583374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
