epoch,loss,lr,mean_absolute_error
0,356.8380126953125,0.000499505,13.722949028015137
1,70.3786392211914,0.00049901,6.662972450256348
2,46.6381950378418,0.00049851503,5.438491344451904
3,41.799644470214844,0.00049802003,5.105793476104736
4,38.673492431640625,0.00049752503,4.928101062774658
5,36.75934600830078,0.00049703004,4.796720027923584
6,34.54169845581055,0.00049653504,4.655632972717285
7,33.1038818359375,0.00049604004,4.54451322555542
8,31.271739959716797,0.00049554504,4.424060821533203
9,30.207656860351562,0.00049505004,4.34610652923584
10,28.284223556518555,0.00049455505,4.204442501068115
11,27.219778060913086,0.00049406005,4.117116451263428
12,25.783023834228516,0.00049356505,4.000147342681885
