epoch,e_time,loss,lr,p10,p5,r1,r10,r5
0,62.21630263328552,6.811898708343506,0.00099901,0.011677377857267857,0.014921335503458977,0.026070497930049896,0.11677374690771103,0.07460670173168182
1,50.97903299331665,6.010548114776611,0.00099802,0.02647196315228939,0.03791491314768791,0.07616252452135086,0.26471957564353943,0.18957458436489105
2,50.96067523956299,5.368607521057129,0.0009970301,0.03595001623034477,0.05459766089916229,0.12411529570817947,0.35949990153312683,0.27298837900161743
3,50.90131735801697,4.882360935211182,0.0009960401,0.04332314431667328,0.06808684766292572,0.16716444492340088,0.43323493003845215,0.34043410420417786
4,51.26606059074402,4.501232624053955,0.0009950501,0.049220338463783264,0.07899496704339981,0.20466400682926178,0.4922035038471222,0.39497482776641846
5,51.091954946517944,4.19067907333374,0.0009940601,0.053977783769369125,0.08834867179393768,0.23798228800296783,0.5397777557373047,0.4417433440685272
6,51.078099966049194,3.9323511123657227,0.0009930701,0.05790693685412407,0.09617988020181656,0.2676471471786499,0.5790692567825317,0.480899453163147
7,51.06682205200195,3.7027487754821777,0.0009920801,0.061478391289711,0.10346657037734985,0.29566243290901184,0.6147838234901428,0.5173293948173523
8,51.075191259384155,3.503697395324707,0.0009910901,0.06466677039861679,0.10987462103366852,0.321746826171875,0.6466678380966187,0.5493731498718262
9,51.061962604522705,3.3243396282196045,0.0009901001,0.06728842854499817,0.11558672040700912,0.3453759253025055,0.6728841662406921,0.577933669090271
10,51.21134305000305,3.158191442489624,0.0009891101,0.06985519826412201,0.12090777605772018,0.36793193221092224,0.6985518336296082,0.6045389771461487
11,51.16755747795105,3.0096969604492188,0.0009881201,0.07205071300268173,0.1257009506225586,0.39011287689208984,0.720503568649292,0.6285049319267273
12,51.206727743148804,2.882549285888672,0.0009871301,0.07387986779212952,0.12990590929985046,0.40985241532325745,0.7387914657592773,0.6495259404182434
13,51.15985727310181,2.760152816772461,0.0009861401,0.07563083618879318,0.13385729491710663,0.42782774567604065,0.75631183385849,0.6692898273468018
14,51.18684196472168,2.6335787773132324,0.0009851501,0.07740961760282516,0.13788919150829315,0.44739365577697754,0.7740961909294128,0.6894495487213135
15,51.25962018966675,2.5162556171417236,0.0009841601,0.07900329679250717,0.14157527685165405,0.46657752990722656,0.7900295257568359,0.7078798413276672
