Model,F1@1,F1@5,F1@10,Precision@1,Precision@5,Precision@10,Recall@1,Recall@5,Recall@10
ATT2ITM,0.28346380591392517,0.14872382084528604,0.09430451112345228,0.28346380591392517,0.08923429250717163,0.05186748132109642,0.28346380591392517,0.44617146253585815,0.5186747908592224
BOW2ITM,0.23093374073505402,0.12703201381696594,0.0815039806622119,0.23093374073505402,0.07621920853853226,0.044827189296483994,0.23093374073505402,0.3810960352420807,0.44827190041542053
GridSearch_BPR,0.01117913004120477,0.009419967431349806,0.007850429780034815,0.014176219222681951,0.006504781930407571,0.0047310588075695735,0.010212498905288308,0.022216982971343942,0.03216443619793199
GridSearch_EASEᴿ,0.014183512780037771,0.01633973207490871,0.01428811920364162,0.018110289628976463,0.01126636369802584,0.008658346333853019,0.012923404631184195,0.038642550308360835,0.057578942221693956
MostPop,0.01117913004120477,0.009419967431349806,0.007999242369568078,0.014176219222681951,0.006504781930407571,0.004819236247710653,0.010212498905288308,0.022216982971343942,0.03280613286146952
USEM2ITM,0.22898605465888977,0.12543441065483624,0.08100751485706359,0.22898605465888977,0.07526064664125443,0.04455413296818733,0.22898605465888977,0.37630322575569153,0.4455413520336151
