epoch,loss,lr,mean_absolute_error
0,914.1453247070312,9.9901e-05,26.034690856933594
1,131.80711364746094,9.9802004e-05,8.917113304138184
2,104.76803588867188,9.970301e-05,8.075258255004883
3,64.98873901367188,9.960401e-05,6.469336986541748
4,49.459712982177734,9.9505014e-05,5.582431316375732
5,44.776878356933594,9.940602e-05,5.261636257171631
6,42.02264404296875,9.930702e-05,5.083328723907471
7,40.05835723876953,9.9208024e-05,4.942815780639648
8,38.5040283203125,9.910903e-05,4.8448944091796875
9,37.48836898803711,9.901003e-05,4.7850871086120605
10,36.39613723754883,9.8911034e-05,4.704098224639893
11,34.96666717529297,9.881204e-05,4.618271827697754
12,34.03129577636719,9.871304e-05,4.553768634796143
13,33.51258850097656,9.8614044e-05,4.533730506896973
14,32.262062072753906,9.851505e-05,4.4367499351501465
15,31.605070114135742,9.841605e-05,4.399910926818848
16,30.509361267089844,9.8317054e-05,4.321277618408203
17,30.36412811279297,9.821806e-05,4.309729099273682
18,29.140239715576172,9.811906e-05,4.232741832733154
