Model,F1@1,F1@5,F1@10,Precision@1,Precision@5,Precision@10,Recall@1,Recall@5,Recall@10
ATT2ITM,0.7794402837753296,0.3167544048693445,0.17793899232690985,0.7794402837753296,0.19005264341831207,0.09786644577980042,0.7794402837753296,0.9502632021903992,0.9786644577980042
BOW2ITM,0.7492380142211914,0.3123672289980782,0.17645280518807654,0.7492380142211914,0.1874203383922577,0.0970490425825119,0.7492380142211914,0.9371016621589661,0.9704904556274414
GridSearch_BPR,0.19163025914177959,0.2209408330114308,0.1810943686495428,0.23292836196062003,0.14725596983661943,0.10670297444491647,0.17570130958275068,0.5293763084190399,0.7468564996424231
GridSearch_EASEᴿ,0.23858649031460022,0.23486917472045601,0.18576579867183068,0.2873900293255132,0.15664013405949495,0.10950984499372293,0.21948234816898413,0.5618825002675027,0.764889786004155
MostPop,0.19163025914177959,0.2209408330114308,0.1810943686495428,0.23292836196062003,0.14725596983661943,0.10670297444491647,0.17570130958275068,0.5293763084190399,0.7468564996424231
USEM2ITM,0.8007758259773254,0.31638495872418076,0.1769314038852029,0.8007758259773254,0.1898309737443924,0.09731227159500122,0.8007758259773254,0.9491549134254456,0.973122775554657
