Model,F1@1,F1@5,F1@10,Precision@1,Precision@5,Precision@10,Recall@1,Recall@5,Recall@10
ATT2ITM,0.2864798903465271,0.2340235552854008,0.1436828749238952,0.2864798903465271,0.14041413366794586,0.07902558147907257,0.2864798903465271,0.7020706534385681,0.7902557849884033
BOW2ITM,0.23459196090698242,0.20909460799561605,0.12906654314561325,0.23459196090698242,0.125456765294075,0.07098659873008728,0.23459196090698242,0.6272838115692139,0.7098659873008728
GridSearch_BPR,0.08868680942602912,0.07030758915475913,0.052313189890192804,0.08946905250806689,0.042358462892343886,0.02883543561161593,0.08829568788501027,0.20881001271145005,0.28463870147648385
GridSearch_EASEᴿ,0.6107362863009685,0.2436233220187529,0.13600772943689052,0.6210032267527134,0.14825462012319757,0.07544734526253749,0.6058570450767576,0.7076366480883935,0.7194680747042145
MostPop,0.08995795443434046,0.07030758915475913,0.052313189890192804,0.09064241713112349,0.042358462892343886,0.02883543561161593,0.08961572308594896,0.20881001271145005,0.28463870147648385
USEM2ITM,0.0789281353354454,0.062119364738464355,0.05948399955576116,0.0789281353354454,0.03727161884307861,0.03271619975566864,0.0789281353354454,0.18635809421539307,0.3271619975566864
