epoch,NDCG10,e_time,f1,loss,lr,p10,p5,r1,r10,r5
0,0.3036951422691345,5.690727472305298,0.04441961273550987,4.298631191253662,4.99505e-05,0.04859599471092224,0.07337016612291336,0.1565314382314682,0.48596662282943726,0.36685752868652344
1,0.4444986879825592,2.8716516494750977,0.07571869343519211,3.621257781982422,4.9901002e-05,0.06348361074924469,0.1060730591416359,0.27900099754333496,0.6348227262496948,0.5303854942321777
2,0.5320781469345093,2.886150598526001,0.09102939069271088,3.097677707672119,4.9851504e-05,0.07112066447734833,0.12330298125743866,0.37077587842941284,0.7111998200416565,0.6165013313293457
3,0.5833306312561035,2.888192653656006,0.09062787145376205,2.726832866668701,4.9802005e-05,0.07630254328250885,0.1346331685781479,0.41954997181892395,0.7630050778388977,0.6731792688369751
4,0.6155815720558167,2.86616587638855,0.09146524220705032,2.4958574771881104,4.9752507e-05,0.07937535643577576,0.14106111228466034,0.45145443081855774,0.793746829032898,0.7053189873695374
5,0.6399654150009155,2.8822431564331055,0.09883714467287064,2.3423209190368652,4.970301e-05,0.08161748945713043,0.1458827257156372,0.4768664240837097,0.8161814212799072,0.729453980922699
6,0.6603395342826843,2.894211769104004,0.11673620343208313,2.2140281200408936,4.965351e-05,0.08337970077991486,0.15025806427001953,0.4974258542060852,0.8337970972061157,0.7512837052345276
7,0.6799836158752441,2.8830223083496094,0.13926562666893005,2.1031618118286133,4.9604012e-05,0.08489124476909637,0.15409980714321136,0.5192152857780457,0.8489125370979309,0.7705191373825073
8,0.6967626214027405,2.89095139503479,0.1682712882757187,2.0030465126037598,4.9554514e-05,0.08622267097234726,0.1570328176021576,0.539673924446106,0.8622267842292786,0.7851842641830444
9,0.7090319991111755,2.8923542499542236,0.1963283121585846,1.921988606452942,4.9505015e-05,0.08724965900182724,0.15982605516910553,0.5512070655822754,0.8725165724754333,0.7991370558738708
10,0.7212845087051392,2.8735225200653076,0.2154587060213089,1.8529069423675537,4.9455517e-05,0.08822955191135406,0.16233700513839722,0.5645885467529297,0.8822888731956482,0.8116850852966309
11,0.7303971648216248,2.9064886569976807,0.23048633337020874,1.79501473903656,4.940602e-05,0.08896955847740173,0.1640656590461731,0.5748850703239441,0.8897021412849426,0.8203148245811462
12,0.7377352714538574,2.877134084701538,0.24095146358013153,1.7490980625152588,4.935652e-05,0.08948706835508347,0.165507972240448,0.5835416913032532,0.8948772549629211,0.8275331258773804
13,0.7442225217819214,2.8789865970611572,0.2478838413953781,1.7086573839187622,4.9307022e-05,0.09000054001808167,0.16678763926029205,0.590578556060791,0.8999919295310974,0.8339382410049438
14,0.7500028610229492,2.8844406604766846,0.25634801387786865,1.6740591526031494,4.9257524e-05,0.09041523188352585,0.16772052645683289,0.5977094769477844,0.9041388034820557,0.838602602481842
15,0.7535530924797058,2.886669635772705,0.26123255491256714,1.6450414657592773,4.9208025e-05,0.09066792577505112,0.16853781044483185,0.6014261841773987,0.9066792726516724,0.8426956534385681
16,0.7574887275695801,2.8948423862457275,0.2564076781272888,1.6233793497085571,4.9158527e-05,0.09092802554368973,0.16932547092437744,0.606110692024231,0.909273624420166,0.8466206789016724
17,0.7616350650787354,2.8905937671661377,0.2623251974582672,1.5984787940979004,4.910903e-05,0.09125735610723495,0.17000028491020203,0.6114068627357483,0.9125735759735107,0.8499945998191833
18,0.7648371458053589,2.874147653579712,0.2696687579154968,1.5792666673660278,4.905953e-05,0.09147850424051285,0.17060652375221252,0.6150227189064026,0.9147915244102478,0.8530190587043762
19,0.7681019902229309,2.8899073600769043,0.27328622341156006,1.5586340427398682,4.9010032e-05,0.0917513445019722,0.17145465314388275,0.6186453104019165,0.9175202250480652,0.8572801351547241
20,0.7697799205780029,2.8870482444763184,0.27197542786598206,1.5452467203140259,4.8960534e-05,0.09178561717271805,0.17152059078216553,0.6212328672409058,0.9178630113601685,0.8575960397720337
21,0.7711423635482788,2.891519546508789,0.27536559104919434,1.5362166166305542,4.8911035e-05,0.09192274510860443,0.17177057266235352,0.6229333281517029,0.9192407727241516,0.8588595986366272
22,0.7748703360557556,2.883861780166626,0.28078746795654297,1.51795494556427,4.8861537e-05,0.09216804802417755,0.17237147688865662,0.6276514530181885,0.9216805100440979,0.8618504405021667
23,0.7766634225845337,2.8841419219970703,0.27858766913414,1.5061533451080322,4.881204e-05,0.09228498488664627,0.1727638989686966,0.6294660568237305,0.9228432178497314,0.8638398051261902
24,0.7777920365333557,2.877807855606079,0.2794659435749054,1.4959993362426758,4.876254e-05,0.09237237274646759,0.17305156588554382,0.6307430863380432,0.9237236976623535,0.8652781248092651
25,0.7797658443450928,2.8704965114593506,0.2862098515033722,1.4854488372802734,4.8713042e-05,0.09249066561460495,0.17328816652297974,0.6337137222290039,0.9249200224876404,0.8664340972900391
26,0.7806923389434814,2.879540205001831,0.2833734154701233,1.478304386138916,4.8663544e-05,0.09248930960893631,0.17343464493751526,0.6351453065872192,0.9248864054679871,0.8671868443489075
27,0.782130241394043,2.878575086593628,0.2804528474807739,1.470077633857727,4.8614045e-05,0.09263782948255539,0.17386484146118164,0.6360660791397095,0.9263650178909302,0.8692905306816101
28,0.7842599153518677,2.8843624591827393,0.2832643687725067,1.4581618309020996,4.8564547e-05,0.09280452132225037,0.1743258535861969,0.6385931372642517,0.9280520081520081,0.8716428875923157
29,0.785466730594635,2.888779878616333,0.2824269235134125,1.4505826234817505,4.851505e-05,0.09283680468797684,0.17449793219566345,0.6401389837265015,0.9283678531646729,0.8724830150604248
30,0.7857640385627747,2.8692679405212402,0.2834378778934479,1.448241949081421,4.846555e-05,0.09290464967489243,0.17454497516155243,0.6403204798698425,0.9290466904640198,0.8727114796638489
31,0.7870185971260071,2.896594524383545,0.28782349824905396,1.4420554637908936,4.8416052e-05,0.09289124608039856,0.17473185062408447,0.6430760622024536,0.9289190173149109,0.8736591935157776
32,0.78895103931427,2.874208450317383,0.2880253791809082,1.4298850297927856,4.8366554e-05,0.0930653065443039,0.17490525543689728,0.6449781060218811,0.9306597113609314,0.8745194673538208
33,0.7892177104949951,2.88023042678833,0.28936511278152466,1.426445722579956,4.8317055e-05,0.09307337552309036,0.17519155144691467,0.6446689367294312,0.930726945400238,0.8759778738021851
34,0.7908896803855896,2.8848800659179688,0.2901080846786499,1.4185166358947754,4.8267557e-05,0.09322997182607651,0.17531926929950714,0.6472564935684204,0.9322996735572815,0.8765895366668701
35,0.7906464338302612,2.865125894546509,0.29179808497428894,1.4172308444976807,4.821806e-05,0.09321987628936768,0.17544962465763092,0.6464096307754517,0.9322055578231812,0.8772145509719849
36,0.792410671710968,2.87394118309021,0.294435054063797,1.406813144683838,4.816856e-05,0.0932360365986824,0.17562709748744965,0.6499650478363037,0.9323668479919434,0.8781487941741943
37,0.7930619716644287,2.9091956615448,0.29567545652389526,1.4042457342147827,4.8119062e-05,0.09336372464895248,0.1758529245853424,0.6497836112976074,0.933650553226471,0.8792510032653809
38,0.7949468493461609,2.8734657764434814,0.29223528504371643,1.391664981842041,4.8069563e-05,0.09344973415136337,0.1761767864227295,0.6521157622337341,0.9344974160194397,0.8808842301368713
39,0.7939490675926208,2.8933753967285156,0.29210445284843445,1.3965646028518677,4.8020065e-05,0.09351426362991333,0.17610962688922882,0.6498978137969971,0.9351493120193481,0.8805414438247681
40,0.795023500919342,2.8786325454711914,0.29449284076690674,1.38922119140625,4.7970567e-05,0.09349408745765686,0.17620377242565155,0.6522031426429749,0.9349409937858582,0.8810253739356995
41,0.7949995398521423,2.8730475902557373,0.2940661311149597,1.3868577480316162,4.792107e-05,0.09346787631511688,0.17633680999279022,0.6516385674476624,0.9346654415130615,0.8816705942153931
42,0.7969154715538025,2.8842883110046387,0.2934740483760834,1.3781605958938599,4.787157e-05,0.09359762072563171,0.17666210234165192,0.6536481380462646,0.9359760284423828,0.883317232131958
43,0.7978031635284424,2.8958754539489746,0.292496919631958,1.3738741874694824,4.782207e-05,0.09361910820007324,0.17670108377933502,0.6561886668205261,0.9361709356307983,0.8835121393203735
44,0.7984120845794678,2.8765196800231934,0.29884088039398193,1.3682678937911987,4.7772573e-05,0.0936923623085022,0.1769873946905136,0.655778706073761,0.9369169473648071,0.8849436640739441
45,0.7984667420387268,2.889673948287964,0.2992320954799652,1.3670382499694824,4.7723075e-05,0.09366413950920105,0.1767655909061432,0.6565179824829102,0.9366481304168701,0.8838279843330383
46,0.8002359867095947,2.90226674079895,0.29550594091415405,1.3602969646453857,4.7673577e-05,0.09383754432201385,0.1772051304578781,0.6583393812179565,0.9383686780929565,0.8860190510749817
47,0.8009310364723206,2.8879685401916504,0.2972221374511719,1.356728434562683,4.762408e-05,0.09378916770219803,0.17706939578056335,0.660301923751831,0.9378847479820251,0.8853334784507751
48,0.7997969388961792,2.878955125808716,0.2978844940662384,1.3573007583618164,4.757458e-05,0.09383285790681839,0.17720112204551697,0.65744549036026,0.9383283853530884,0.8860123157501221
49,0.8005647659301758,2.8743486404418945,0.2979583442211151,1.3532601594924927,4.752508e-05,0.09382611513137817,0.1773543655872345,0.6585813164710999,0.9382678866386414,0.8867717981338501
50,0.8018102645874023,2.8889400959014893,0.29857271909713745,1.3475254774093628,4.7475583e-05,0.09387785941362381,0.17766886949539185,0.659912109375,0.9387853741645813,0.8883444666862488
51,0.8020777702331543,2.894448757171631,0.3003515899181366,1.345508337020874,4.7426085e-05,0.09396593272686005,0.17769040167331696,0.6602615714073181,0.9396591186523438,0.8884251713752747
52,0.8017969131469727,2.8748221397399902,0.30418863892555237,1.3467600345611572,4.7376587e-05,0.09393902122974396,0.17763128876686096,0.6601876616477966,0.9393903017044067,0.8881495594978333
53,0.8032540678977966,2.8904941082000732,0.306702196598053,1.3376290798187256,4.732709e-05,0.09404456615447998,0.177894726395607,0.6614310145378113,0.9404588937759399,0.8894534707069397
54,0.8026111125946045,2.8951847553253174,0.2982824742794037,1.3389986753463745,4.727759e-05,0.09394573420286179,0.17765413224697113,0.661148726940155,0.9394574761390686,0.8882571458816528
55,0.8033009171485901,2.9023828506469727,0.29828786849975586,1.3334800004959106,4.722809e-05,0.09398876130580902,0.17780466377735138,0.6621434688568115,0.9398876428604126,0.8890300393104553
56,0.8048436045646667,2.8892643451690674,0.30726179480552673,1.327056646347046,4.7178593e-05,0.0940539762377739,0.17792294919490814,0.6650872230529785,0.940539538860321,0.8896214962005615
57,0.8054264187812805,2.8820393085479736,0.30274635553359985,1.3250757455825806,4.7129095e-05,0.09401161968708038,0.1780238002538681,0.6661088466644287,0.9401094317436218,0.8901053667068481
58,0.8052327632904053,2.8803205490112305,0.30633941292762756,1.3280820846557617,4.7079597e-05,0.09411577135324478,0.17800089716911316,0.6651477217674255,0.9411444664001465,0.8899911046028137
59,0.8056519627571106,2.8977301120758057,0.3024675250053406,1.3254197835922241,4.70301e-05,0.09410504996776581,0.1781689077615738,0.6654232740402222,0.9410503506660461,0.8908715844154358
60,0.8064107894897461,2.875317335128784,0.3070046901702881,1.3189644813537598,4.69806e-05,0.09424281865358353,0.17840012907981873,0.6656249165534973,0.9424281716346741,0.8919872641563416
61,0.8067620992660522,2.887655735015869,0.3092486262321472,1.315978765487671,4.69311e-05,0.0942031592130661,0.17842301726341248,0.6663373112678528,0.9420316219329834,0.8921216726303101
62,0.8064655661582947,2.886481523513794,0.3059212267398834,1.315967321395874,4.6881603e-05,0.09423474222421646,0.1785426139831543,0.6655173897743225,0.942347526550293,0.8927131295204163
63,0.8069746494293213,2.886608839035034,0.30633482336997986,1.3119111061096191,4.6832105e-05,0.09420854598283768,0.1784888505935669,0.6669153571128845,0.9420652389526367,0.89243084192276
64,0.8082378506660461,2.8971831798553467,0.31052127480506897,1.3075978755950928,4.6782607e-05,0.09420450031757355,0.17856547236442566,0.6695297956466675,0.9420450329780579,0.8928273916244507
65,0.8084992170333862,2.8952157497406006,0.30793318152427673,1.3029546737670898,4.673311e-05,0.09431807696819305,0.17860446870326996,0.6692206263542175,0.9431875944137573,0.8930155634880066
66,0.8079376816749573,2.878108263015747,0.30428463220596313,1.3071311712265015,4.668361e-05,0.09430330991744995,0.17865146696567535,0.6674933433532715,0.943046510219574,0.8932642340660095
67,0.8086656928062439,2.8844573497772217,0.3069348931312561,1.304746150970459,4.663411e-05,0.09425827860832214,0.1786595582962036,0.6696239113807678,0.9425827264785767,0.8932978510856628
68,0.8095098733901978,2.87247633934021,0.310384601354599,1.2994561195373535,4.6584613e-05,0.09440545737743378,0.17894184589385986,0.6704371571540833,0.944074809551239,0.8947025537490845
69,0.8095085024833679,2.885688066482544,0.30863749980926514,1.2977747917175293,4.6535115e-05,0.09441619366407394,0.179023876786232,0.669765055179596,0.9441621899604797,0.8951125144958496
70,0.8111476898193359,2.88236665725708,0.3012304902076721,1.291887879371643,4.6485617e-05,0.09444645792245865,0.17910854518413544,0.6728499531745911,0.9444444179534912,0.895535945892334
71,0.810500979423523,2.8875136375427246,0.3100944459438324,1.2933692932128906,4.643612e-05,0.09440480172634125,0.17897407710552216,0.6719695329666138,0.9440546035766602,0.8948772549629211
72,0.8108593225479126,2.9106388092041016,0.3177943229675293,1.288535475730896,4.638662e-05,0.09448276460170746,0.1791851669549942,0.6715461015701294,0.9448208212852478,0.8959190249443054
73,0.8105942606925964,2.8853538036346436,0.3102356791496277,1.2894411087036133,4.633712e-05,0.0944269672036171,0.17924965918064117,0.6713646054267883,0.9442763924598694,0.8962416052818298
74,0.811439037322998,2.893780469894409,0.30854445695877075,1.2866320610046387,4.6287623e-05,0.0944867879152298,0.17910315096378326,0.6735489368438721,0.9448678493499756,0.8955023288726807
75,0.8114284873008728,2.906088352203369,0.31291335821151733,1.285681128501892,4.6238125e-05,0.09450694918632507,0.17914751172065735,0.6729104518890381,0.9450694918632507,0.895744264125824
76,0.8117117285728455,2.8819375038146973,0.30931878089904785,1.283251404762268,4.6188627e-05,0.09447402507066727,0.17923355102539062,0.6729709506034851,0.9447469115257263,0.8961408138275146
77,0.8116140961647034,2.9035303592681885,0.3097940981388092,1.2839244604110718,4.613913e-05,0.09448207914829254,0.17937065660953522,0.672581136226654,0.9448140859603882,0.8968532681465149
78,0.8125758171081543,2.889474868774414,0.3073536455631256,1.2773951292037964,4.608963e-05,0.0946124717593193,0.17933566868305206,0.6739522218704224,0.9461381435394287,0.8966785073280334
79,0.8126646876335144,2.8806519508361816,0.31131935119628906,1.279402732849121,4.604013e-05,0.09461580961942673,0.1796274334192276,0.6731053590774536,0.9461650252342224,0.8981436491012573
80,0.8131858110427856,2.8859798908233643,0.31175941228866577,1.2745704650878906,4.5990633e-05,0.09461583197116852,0.17958439886569977,0.6744831800460815,0.9461650252342224,0.8979084491729736
81,0.8127542734146118,2.893091917037964,0.30940356850624084,1.2754725217819214,4.5941135e-05,0.09463804215192795,0.1795548051595688,0.6738648414611816,0.9463733434677124,0.8977740406990051
82,0.8128054141998291,2.9061119556427,0.31992319226264954,1.2747536897659302,4.5891637e-05,0.09457215666770935,0.17956016957759857,0.674227774143219,0.9457281231880188,0.8978143334388733
83,0.8134880661964417,2.8852052688598633,0.3149467706680298,1.2715480327606201,4.584214e-05,0.09464406967163086,0.17976988852024078,0.6745302081108093,0.9464539885520935,0.8988292217254639
84,0.814409613609314,2.904008388519287,0.3121793866157532,1.2656574249267578,4.579264e-05,0.09466423839330673,0.17978200316429138,0.6762507557868958,0.946628749370575,0.898909866809845
85,0.8141816854476929,2.9050629138946533,0.3084954619407654,1.2688169479370117,4.574314e-05,0.09464405477046967,0.17979677021503448,0.6760894656181335,0.9464338421821594,0.8989837765693665
86,0.8153876662254333,2.9015843868255615,0.3052414357662201,1.2626501321792603,4.5693643e-05,0.09467834234237671,0.17980483174324036,0.6783140897750854,0.9467833638191223,0.8990106582641602
87,0.8149524331092834,2.898998737335205,0.31174805760383606,1.2646660804748535,4.5644145e-05,0.09465616196393967,0.1798652857542038,0.6774067878723145,0.9465615749359131,0.8993467092514038
