epoch,accuracy,loss,lr,top_10,top_5
0,0.0528697595000267,4.88529109954834,0.000499505,0.1948441118001938,0.132049560546875
1,0.08002246916294098,4.666318416595459,0.00049901,0.26728254556655884,0.1913485825061798
2,0.09706313908100128,4.553622245788574,0.00049851503,0.2970568835735321,0.215692400932312
3,0.11638213694095612,4.366115093231201,0.00049802003,0.35201773047447205,0.26110297441482544
4,0.13950875401496887,4.13028621673584,0.00049752503,0.41244029998779297,0.31041479110717773
5,0.16844043135643005,3.876891613006592,0.00049703004,0.4732998311519623,0.3607253134250641
6,0.1964046061038971,3.6616621017456055,0.00049653504,0.5286976099014282,0.40754035115242004
7,0.22024905681610107,3.490055561065674,0.00049604004,0.5701757073402405,0.44714584946632385
8,0.24078524112701416,3.3379859924316406,0.00049554504,0.6040697693824768,0.47876158356666565
9,0.2590118944644928,3.2254080772399902,0.00049505004,0.6282575726509094,0.5043225884437561
10,0.275802880525589,3.114985227584839,0.00049455505,0.6543803215026855,0.5287288427352905
11,0.2964327037334442,3.005945920944214,0.00049406005,0.6783808469772339,0.5549452304840088
12,0.30710652470588684,2.9218502044677734,0.00049356505,0.6933304071426392,0.5735464096069336
13,0.3264255225658417,2.832385540008545,0.00049307005,0.7095284461975098,0.5923036336898804
14,0.3382228910923004,2.7668397426605225,0.00049257505,0.7203894853591919,0.6065353751182556
15,0.35492026805877686,2.689652681350708,0.00049208006,0.7351518273353577,0.6207671165466309
16,0.35716739296913147,2.648815631866455,0.00049158506,0.74301677942276,0.6294747591018677
17,0.3719921410083771,2.576878786087036,0.00049109006,0.757061243057251,0.6415218114852905
18,0.3831028938293457,2.5125210285186768,0.00049059506,0.7633969187736511,0.6553166508674622
19,0.39717862010002136,2.445533275604248,0.00049010006,0.7775662541389465,0.6683624386787415
20,0.3992384672164917,2.4329755306243896,0.00048960507,0.7815923094749451,0.6729190945625305
21,0.4145625829696655,2.380232334136963,0.00048911007,0.7865859270095825,0.6821884512901306
22,0.4211479127407074,2.3253326416015625,0.0004886151,0.7967916131019592,0.6931431889533997
23,0.4322274625301361,2.268353223800659,0.00048812007,0.8045316934585571,0.701226532459259
24,0.4434630572795868,2.209355115890503,0.00048762508,0.8136762380599976,0.7151150107383728
25,0.4461159110069275,2.199981451034546,0.00048713008,0.8157361149787903,0.7162385582923889
26,0.45332542061805725,2.1526050567626953,0.00048663508,0.8248181939125061,0.7258200645446777
27,0.4656221568584442,2.102334499359131,0.00048614008,0.8326519131660461,0.7356824278831482
28,0.47564059495925903,2.054774761199951,0.00048564508,0.836865246295929,0.7456071972846985
29,0.4830373525619507,2.0108959674835205,0.00048515009,0.8459786176681519,0.7511313557624817
30,0.48740676045417786,1.9945825338363647,0.0004846551,0.8469148874282837,0.7554383277893066
