epoch,NDCG@10,e_time,f1,loss,lr,p10,p5,r1,r10,r5,val_NDCG@10,val_e_time,val_f1,val_loss,val_lr,val_p10,val_p5,val_r1,val_r10,val_r5
0,0.13160282373428345,14.45935344696045,0.0074221245013177395,5.862801551818848,9.9901e-05,0.021104557439684868,0.03195852041244507,0.06656154245138168,0.21105654537677765,0.159787118434906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0.23278376460075378,11.792560577392578,0.012381836771965027,4.992170333862305,9.9802004e-05,0.0359187051653862,0.05586965009570122,0.1273084580898285,0.3591870367527008,0.279348224401474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,0.2857852578163147,11.86337423324585,0.016704045236110687,4.6039814949035645,9.970301e-05,0.04312291368842125,0.06847020238637924,0.16247543692588806,0.4312237501144409,0.3423454463481903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,0.31643229722976685,11.913724899291992,0.018329083919525146,4.4038920402526855,9.960401e-05,0.0470469668507576,0.07581239193677902,0.18407493829727173,0.47046422958374023,0.37906187772750854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,0.33507412672042847,11.957498550415039,0.01923344098031521,4.2865705490112305,9.9505014e-05,0.0493372417986393,0.0798935815691948,0.19867172837257385,0.4933668375015259,0.3994678258895874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,0.34625598788261414,12.056972980499268,0.02005535550415516,4.2109808921813965,9.940602e-05,0.050612419843673706,0.08273953199386597,0.20687352120876312,0.5061294436454773,0.413697749376297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,0.35646286606788635,12.038134336471558,0.020718982443213463,4.147660255432129,9.930702e-05,0.05189085751771927,0.08513767272233963,0.21426498889923096,0.5189085006713867,0.42568835616111755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,0.36461687088012695,12.030620574951172,0.02060968428850174,4.095848083496094,9.9208024e-05,0.05270446464419365,0.08704302459955215,0.22135531902313232,0.5270445346832275,0.43521514534950256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,0.372368186712265,12.068221807479858,0.021320875734090805,4.048938274383545,9.910903e-05,0.05360895022749901,0.08883669227361679,0.22793099284172058,0.5360950231552124,0.44418346881866455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,0.3744758367538452,12.076629638671875,0.021848225966095924,4.028646469116211,9.901003e-05,0.05392596125602722,0.08941595256328583,0.22862085700035095,0.5392487049102783,0.44708529114723206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,0.3817770183086395,12.093644618988037,0.02207692712545395,3.986349105834961,9.8911034e-05,0.054775696247816086,0.09088657796382904,0.23469281196594238,0.5477625727653503,0.45443296432495117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,0.38560622930526733,12.122010231018066,0.021785574033856392,3.9624383449554443,9.881204e-05,0.05518031120300293,0.09186994284391403,0.23824620246887207,0.5518032312393188,0.4593551456928253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,0.3902842700481415,12.200058937072754,0.02229640819132328,3.9334845542907715,9.871304e-05,0.05572018772363663,0.09295184910297394,0.24218831956386566,0.5571907758712769,0.464753657579422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,0.3935149312019348,12.08553409576416,0.022607866674661636,3.911412477493286,9.8614044e-05,0.05602078139781952,0.09361650794744492,0.24546246230602264,0.5602021217346191,0.4680825471878052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,0.39720046520233154,12.061081171035767,0.02242911420762539,3.8903191089630127,9.851505e-05,0.05639088526368141,0.09435894340276718,0.24834786355495453,0.5639088153839111,0.4717946946620941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,0.400506854057312,12.160888910293579,0.022765375673770905,3.870453119277954,9.841605e-05,0.05668705701828003,0.09517256170511246,0.2516931891441345,0.5668599605560303,0.47585728764533997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,0.4024204611778259,12.24698257446289,0.023141779005527496,3.853668451309204,9.8317054e-05,0.05690388008952141,0.09550327062606812,0.2530072331428528,0.5690390467643738,0.477516233921051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,0.40489572286605835,12.172566890716553,0.023608366027474403,3.8365843296051025,9.821806e-05,0.05722969025373459,0.09628293663263321,0.2544417381286621,0.5722967982292175,0.4814145565032959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,0.40764352679252625,12.130441665649414,0.023547714576125145,3.8151257038116455,9.811906e-05,0.05753575637936592,0.09677454829216003,0.2570917010307312,0.5753628611564636,0.48387837409973145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,0.409842848777771,12.216830253601074,0.02371014654636383,3.8046627044677734,9.8020064e-05,0.0576939731836319,0.09728921949863434,0.2591175138950348,0.5769233107566833,0.48644623160362244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,0.4134633243083954,12.15489673614502,0.02400106191635132,3.7841546535491943,9.792107e-05,0.05815059319138527,0.09811924397945404,0.26237523555755615,0.5815114974975586,0.4905964136123657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,0.4152100682258606,12.178252696990967,0.024106353521347046,3.7689297199249268,9.782207e-05,0.0582716204226017,0.0987270176410675,0.26326221227645874,0.582721471786499,0.49365153908729553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,0.41655826568603516,12.200173616409302,0.02423623763024807,3.760181427001953,9.7723074e-05,0.058566171675920486,0.09892740845680237,0.26408347487449646,0.5856616497039795,0.4946316182613373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
