epoch,e_time,loss,lr,p10,p5,r1,r10,r5
0,5.7168967723846436,7.10198974609375,0.00099901,0.02081821858882904,0.033052947372198105,0.08674528449773788,0.20788027346134186,0.1650092601776123
1,2.8110086917877197,6.999484539031982,0.00099802,0.030778415501117706,0.05083302780985832,0.14711305499076843,0.3078491687774658,0.2542209029197693
2,2.8651845455169678,6.893244743347168,0.0009970301,0.031345997005701065,0.05139783397316933,0.14539915323257446,0.31361329555511475,0.25713780522346497
3,2.8798766136169434,6.779345512390137,0.0009960401,0.03150809928774834,0.05114050954580307,0.1418784260749817,0.31511354446411133,0.2556840181350708
4,2.8536477088928223,6.642027854919434,0.0009950501,0.031889431178569794,0.051429420709609985,0.14041997492313385,0.31880611181259155,0.25727251172065735
5,2.881225347518921,6.482252597808838,0.0009940601,0.032681360840797424,0.052370451390743256,0.1430814117193222,0.3268508017063141,0.261801153421402
6,2.9071199893951416,6.281826496124268,0.0009930701,0.034097086638212204,0.054717905819416046,0.15068022906780243,0.3409244120121002,0.2735151946544647
7,2.8156261444091797,6.059118747711182,0.0009920801,0.03623506426811218,0.058403048664331436,0.16340218484401703,0.3623831272125244,0.2920663058757782
8,2.8444011211395264,5.825394630432129,0.0009910901,0.03902330622076988,0.06360608339309692,0.18354180455207825,0.39015406370162964,0.31801649928092957
9,2.7642993927001953,5.594544887542725,0.0009901001,0.04229087382555008,0.0695764496922493,0.2047450691461563,0.4229459762573242,0.3477707505226135
10,2.905595302581787,5.385656356811523,0.0009891101,0.045293714851140976,0.07516872882843018,0.22383034229278564,0.452951043844223,0.3757367730140686
11,2.896378517150879,5.203989505767822,0.0009881201,0.04805082827806473,0.08016554266214371,0.24130387604236603,0.4805454909801483,0.4008369743824005
12,2.8494040966033936,5.049402713775635,0.0009871301,0.0502050556242466,0.08429564535617828,0.25556787848472595,0.50201815366745,0.42160364985466003
13,2.8751847743988037,4.915238380432129,0.0009861401,0.05202486738562584,0.08766589313745499,0.2684059739112854,0.5202255249023438,0.43825042247772217
14,2.8499484062194824,4.796689987182617,0.0009851501,0.05352234095335007,0.09059764444828033,0.27959051728248596,0.5351955890655518,0.45302534103393555
15,2.827303409576416,4.696906566619873,0.0009841601,0.05461340770125389,0.09297481924295425,0.2885455787181854,0.5463429689407349,0.4647904932498932
16,2.851895809173584,4.606802463531494,0.0009831701,0.05567844212055206,0.09519408643245697,0.297881543636322,0.5568586587905884,0.47594717144966125
17,2.830009698867798,4.530265808105469,0.0009821801,0.05650937929749489,0.09683088213205338,0.3049740493297577,0.5650984644889832,0.4840383231639862
18,2.8017940521240234,4.454881191253662,0.0009811901,0.05740581825375557,0.09871295839548111,0.3138176500797272,0.5739791989326477,0.49344393610954285
19,2.843076467514038,4.382487773895264,0.0009802001,0.05820191651582718,0.10047518461942673,0.3211331367492676,0.5819635391235352,0.5024872422218323
20,2.9027860164642334,4.320712566375732,0.0009792101,0.058715641498565674,0.10172925144433975,0.3270877003669739,0.5871052742004395,0.5085904598236084
21,2.858525514602661,4.260595321655273,0.0009782201,0.05946856364607811,0.10325735807418823,0.33394333720207214,0.5945972204208374,0.5165979862213135
22,2.8226571083068848,4.212586879730225,0.0009772301,0.05985267460346222,0.10436932742595673,0.3386716842651367,0.5983873605728149,0.5220648646354675
23,2.8479368686676025,4.153653621673584,0.00097624015,0.060413748025894165,0.10565686970949173,0.3447330892086029,0.6042211651802063,0.5280101299285889
24,2.861976146697998,4.108214378356934,0.00097525015,0.06085407733917236,0.10659787058830261,0.3494800329208374,0.608122706413269,0.5332726240158081
25,2.855851173400879,4.065779685974121,0.00097426015,0.06123820319771767,0.10743668675422668,0.35301467776298523,0.6125119924545288,0.5368212461471558
26,2.9282498359680176,4.027859210968018,0.00097327016,0.061521533876657486,0.10816314071416855,0.35545316338539124,0.615243136882782,0.5406949520111084
27,2.8643672466278076,3.9864349365234375,0.00097228016,0.06189681962132454,0.10894253849983215,0.3591596782207489,0.6188985705375671,0.544745147228241
28,2.9080822467803955,3.9532599449157715,0.00097129017,0.06219268962740898,0.10950548946857452,0.3628382980823517,0.6217690110206604,0.5478246212005615
29,2.865098476409912,3.912490129470825,0.00097030017,0.06245791167020798,0.11043258756399155,0.3661407232284546,0.6244629621505737,0.5517587065696716
30,2.8980607986450195,3.889747381210327,0.0009693102,0.06254151463508606,0.11050967127084732,0.367078959941864,0.6256102323532104,0.552761971950531
31,2.847898483276367,3.8603503704071045,0.0009683202,0.06281138211488724,0.1109546422958374,0.3690994381904602,0.6280301213264465,0.5548010468482971
32,2.848867416381836,3.8258466720581055,0.0009673302,0.06314393877983093,0.11154825240373611,0.3720163404941559,0.6311374306678772,0.5575739741325378
33,2.8167645931243896,3.8025856018066406,0.0009663402,0.06324425339698792,0.11177769303321838,0.3734376132488251,0.6324565410614014,0.558883786201477
34,2.861173629760742,3.7773945331573486,0.0009653502,0.06336317956447601,0.11205917596817017,0.3740925192832947,0.6338871717453003,0.560565173625946
35,2.8099002838134766,3.750190258026123,0.0009643602,0.0635090097784996,0.11254501342773438,0.3755788505077362,0.6353362798690796,0.5627250075340271
36,2.8920397758483887,3.7288217544555664,0.0009633702,0.06363257765769958,0.11290264874696732,0.3771487772464752,0.6363024115562439,0.5637840032577515
37,2.8531908988952637,3.711984395980835,0.0009623802,0.06364418566226959,0.11268620193004608,0.37612229585647583,0.6364138722419739,0.563835084438324
38,2.8453269004821777,3.695483684539795,0.0009613902,0.06367391347885132,0.11295373737812042,0.3768422305583954,0.6366786360740662,0.5642437934875488
39,2.859586000442505,3.6727428436279297,0.0009604002,0.0638703778386116,0.1132965236902237,0.3778640627861023,0.6386758685112,0.5657348036766052
40,2.8244411945343018,3.653573989868164,0.0009594102,0.06388244032859802,0.11340519785881042,0.3791971206665039,0.6391124725341797,0.5668727159500122
41,2.8174753189086914,3.6281464099884033,0.0009584202,0.06408031284809113,0.11376561969518661,0.38007497787475586,0.6408403515815735,0.5680710673332214
42,2.8293561935424805,3.624934434890747,0.0009574302,0.064006008207798,0.11351948976516724,0.3794850707054138,0.640022873878479,0.5673093199729919
43,2.8831281661987305,3.607137680053711,0.0009564402,0.06407521665096283,0.1137489303946495,0.3793317973613739,0.6404083371162415,0.5686841607093811
44,2.898371934890747,3.5905117988586426,0.00095545023,0.06413234770298004,0.11382786929607391,0.37879765033721924,0.6408310532569885,0.568934977054596
45,2.8832285404205322,3.581737995147705,0.00095446024,0.06408728659152985,0.11375356465578079,0.38000065088272095,0.6405152082443237,0.5685587525367737
46,2.8441240787506104,3.560472011566162,0.00095347024,0.06428005546331406,0.11415672302246094,0.3802746832370758,0.6428282856941223,0.5703749060630798
47,2.799220561981201,3.546159029006958,0.00095248024,0.06421872973442078,0.11409169435501099,0.38039082288742065,0.6428143382072449,0.570393443107605
48,2.800119161605835,3.5404319763183594,0.00095149025,0.06416995823383331,0.11378329247236252,0.3796197772026062,0.6418203711509705,0.5690418481826782
49,2.8604609966278076,3.515352249145508,0.00095050025,0.0644124299287796,0.11415301263332367,0.38086456060409546,0.6437943577766418,0.5709740519523621
50,2.839528799057007,3.509706735610962,0.00094951026,0.06433950364589691,0.11412142962217331,0.3793596625328064,0.6436178684234619,0.5704445242881775
51,2.9049527645111084,3.4983015060424805,0.00094852026,0.06436550617218018,0.11416228860616684,0.37934574484825134,0.6437758207321167,0.5705142021179199
52,2.8564372062683105,3.486729145050049,0.00094753026,0.06440825015306473,0.11417253315448761,0.37914136052131653,0.6438593864440918,0.5705652832984924
53,2.879059314727783,3.4770076274871826,0.00094654027,0.06441056728363037,0.11409077793359756,0.379090279340744,0.6437990069389343,0.5708068609237671
54,2.7855613231658936,3.464297294616699,0.0009455503,0.06445980072021484,0.11420875787734985,0.37927141785621643,0.6447558403015137,0.5708811283111572
55,2.8033132553100586,3.457601547241211,0.0009445603,0.06438221782445908,0.11419201642274857,0.37894630432128906,0.6443378329277039,0.5715267658233643
56,2.8677852153778076,3.445432424545288,0.0009435703,0.06437712907791138,0.11425149440765381,0.3783842921257019,0.6442402601242065,0.5705885291099548
57,2.8475723266601562,3.434591054916382,0.0009425803,0.06449185311794281,0.11419572681188583,0.37800341844558716,0.6453503966331482,0.5704631209373474
