epoch,CO2(gr),NDCG@10,e_time,f1,loss,lr,p10,p5,r1,r10,r5,val_CO2(gr),val_NDCG@10,val_e_time,val_f1,val_loss,val_lr,val_p10,val_p5,val_r1,val_r10,val_r5
0,0.09090314671546942,0.03699275851249695,3.6426291465759277,0.012790221720933914,0.11103858798742294,9.9901e-05,0.007876351475715637,0.008001109585165977,0.010008317418396473,0.07876351475715637,0.04000554606318474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0.12674328132179624,0.0714152455329895,0.9962248802185059,0.00015673652524128556,0.02775612473487854,9.9802004e-05,0.012852786108851433,0.0162073764950037,0.0312725268304348,0.12852786481380463,0.0810091495513916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,0.1624193690829065,0.12999852001667023,0.9929549694061279,0.00010842751362361014,0.02423957921564579,9.970301e-05,0.02189076878130436,0.03171611204743385,0.05907956883311272,0.2189076840877533,0.15858054161071777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,0.20141009649961814,0.13147208094596863,0.9926469326019287,8.846423588693142e-05,0.02242702804505825,9.960401e-05,0.023606877774000168,0.03138342499732971,0.05367341265082359,0.2360687553882599,0.15691711008548737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,0.2373804952851143,0.1324375718832016,0.9929466247558594,0.0,0.021680839359760284,9.9505014e-05,0.02296922728419304,0.031084001064300537,0.05905184522271156,0.22971998155117035,0.15542002022266388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,0.27314796110813955,0.13839104771614075,0.9919102191925049,5.422698814072646e-05,0.02106212079524994,9.940602e-05,0.024122539907693863,0.0332963690161705,0.05980038642883301,0.24122539162635803,0.1664818376302719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,0.3092883416665952,0.1393296867609024,0.9948740005493164,0.00010837468289537355,0.020486008375883102,9.930702e-05,0.02429720014333725,0.03320210799574852,0.060909342020750046,0.2429720014333725,0.1660105288028717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,0.34820326130281576,0.13990089297294617,0.9923965930938721,0.0003245180705562234,0.01992443948984146,9.9208024e-05,0.02436928264796734,0.03337399661540985,0.06077072396874428,0.2436928153038025,0.16686996817588806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,0.38426257134222436,0.13964830338954926,0.9956567287445068,0.0004318671999499202,0.01945563778281212,9.910903e-05,0.024366511031985283,0.033340729773044586,0.06079844757914543,0.24366509914398193,0.16670362651348114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,0.4208915097699579,0.14199420809745789,0.997321367263794,0.0009698626818135381,0.019061384722590446,9.901003e-05,0.024776823818683624,0.03391183912754059,0.06168561056256294,0.24776822328567505,0.16955919563770294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,0.4584835075676345,0.1450953334569931,0.996150016784668,0.001378689776174724,0.01878385804593563,9.8911034e-05,0.024871082976460457,0.034865543246269226,0.06512337177991867,0.24871084094047546,0.17429997026920319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,0.49602838918366915,0.14775410294532776,0.996074914932251,0.0015916989650577307,0.0185325276106596,9.881204e-05,0.025170505046844482,0.03528139740228653,0.06770168989896774,0.25170502066612244,0.17640697956085205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,0.5318290845304159,0.15298016369342804,1.0034337043762207,0.0025489532854408026,0.018319793045520782,9.871304e-05,0.025960631668567657,0.03635153919458389,0.07083448767662048,0.25960633158683777,0.18175768852233887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,0.5687649866563067,0.15805383026599884,0.9959778785705566,0.004135005176067352,0.018157685175538063,9.8614044e-05,0.026609372347593307,0.03782089799642563,0.07427224516868591,0.2660937011241913,0.18910451233386993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,0.6060072805751833,0.1626053899526596,0.99576735496521,0.005377393681555986,0.017995234578847885,9.851505e-05,0.027052953839302063,0.03860272094607353,0.07854172587394714,0.27052953839302063,0.19301357865333557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,0.64307015147073,0.16997882723808289,0.9962499141693115,0.007740130182355642,0.01782955788075924,9.841605e-05,0.027879122644662857,0.04058220237493515,0.08489049226045609,0.27879124879837036,0.20291100442409515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
