epoch,MAE,NDCG@10,RC@10,RC@5,e_time,loss,lr,val_MAE,val_NDCG@10,val_RC@10,val_RC@5,val_e_time,val_loss,val_lr
0,0.3822802007198334,0.05516697093844414,0.10885169357061386,0.06731163710355759,103.57809972763062,6.362645149230957,0.00099901,NA,NA,NA,NA,NA,NA,NA
1,0.3780274987220764,0.0656382367014885,0.12873201072216034,0.08300893008708954,98.99147343635559,6.195134162902832,0.00099802,NA,NA,NA,NA,NA,NA,NA
2,0.3810179829597473,0.06695937365293503,0.13102610409259796,0.08504568785429001,99.08879613876343,6.172351837158203,0.0009970301,NA,NA,NA,NA,NA,NA,NA
3,0.38574761152267456,0.06756626069545746,0.13250987231731415,0.08559868484735489,99.09302759170532,6.160619258880615,0.0009960401,NA,NA,NA,NA,NA,NA,NA
4,0.38977545499801636,0.0674310103058815,0.1319897323846817,0.08547275513410568,98.92077732086182,6.154969692230225,0.0009950501,NA,NA,NA,NA,NA,NA,NA
5,0.3921668529510498,0.06782674044370651,0.13296431303024292,0.08573008328676224,99.18716287612915,6.148777961730957,0.0009940601,NA,NA,NA,NA,NA,NA,NA
6,0.3937864303588867,0.06762223690748215,0.13232919573783875,0.0859326645731926,99.29601955413818,6.1445112228393555,0.0009930701,NA,NA,NA,NA,NA,NA,NA
7,0.3953929543495178,0.06814012676477432,0.13299715518951416,0.08587244153022766,98.68785858154297,6.139963626861572,0.0009920801,NA,NA,NA,NA,NA,NA,NA
8,0.3963587284088135,0.0679243803024292,0.1328931301832199,0.08581768721342087,97.63253617286682,6.136105060577393,0.0009910901,NA,NA,NA,NA,NA,NA,NA
9,0.3973895311355591,0.06805665045976639,0.1326412707567215,0.08605311810970306,97.680997133255,6.133695125579834,0.0009901001,NA,NA,NA,NA,NA,NA,NA
