epoch,NDCG10,e_time,f1,loss,lr,p10,p5,r1,r10,r5
0,0.4792681634426117,4.35643744468689,0.11767611652612686,3.040095806121826,4.99505e-05,0.07315273582935333,0.11696793884038925,0.26498445868492126,0.7315145134925842,0.5847507119178772
1,0.6580880880355835,1.7102327346801758,0.188064843416214,2.2077629566192627,4.9901002e-05,0.0854203924536705,0.15291541814804077,0.4705912172794342,0.8541783094406128,0.7645770907402039
2,0.720801591873169,1.7302255630493164,0.20149584114551544,1.8280595541000366,4.9851504e-05,0.08982151746749878,0.16459240019321442,0.5445332527160645,0.8982023596763611,0.8229745030403137
3,0.7506960034370422,1.7117376327514648,0.2228439897298813,1.6468511819839478,4.9802005e-05,0.09171716868877411,0.16985037922859192,0.5830065608024597,0.9171589612960815,0.8492641448974609
4,0.7723404169082642,1.7158873081207275,0.2556438446044922,1.5218266248703003,4.9752507e-05,0.09301446378231049,0.17415335774421692,0.6102383136749268,0.9301573634147644,0.8707541823387146
5,0.78976970911026,1.7149252891540527,0.3021171987056732,1.4227337837219238,4.970301e-05,0.09401766210794449,0.17697714269161224,0.6337907910346985,0.9402021765708923,0.8848984241485596
6,0.8005037307739258,1.716057300567627,0.33693233132362366,1.351697325706482,4.965351e-05,0.09462747722864151,0.1787467896938324,0.6484569907188416,0.9462621808052063,0.8937464952468872
7,0.8103014230728149,1.7270383834838867,0.36148399114608765,1.2921392917633057,4.9604012e-05,0.09515838325023651,0.1805393546819687,0.6614172458648682,0.951609194278717,0.902696430683136
8,0.8166074156761169,1.715317964553833,0.3875699043273926,1.2474383115768433,4.9554514e-05,0.09546898305416107,0.18142536282539368,0.670812726020813,0.954677402973175,0.9071141481399536
9,0.8217626214027405,1.726383924484253,0.3964954912662506,1.2150824069976807,4.9505015e-05,0.09578730911016464,0.18236498534679413,0.6772928833961487,0.9578728675842285,0.911824643611908
10,0.8265622854232788,1.7152245044708252,0.40446677803993225,1.1848753690719604,4.9455517e-05,0.0959986075758934,0.18310843408107758,0.6841421723365784,0.9599735140800476,0.9155420660972595
11,0.8302798271179199,1.7106132507324219,0.41425395011901855,1.1587454080581665,4.940602e-05,0.09625706821680069,0.1838519126176834,0.688470721244812,0.9625452160835266,0.9192468523979187
12,0.8330515027046204,1.6969170570373535,0.4199586808681488,1.1444146633148193,4.935652e-05,0.09635381400585175,0.18427202105522156,0.6929138898849487,0.9635254740715027,0.921360194683075
13,0.8364542722702026,1.711534023284912,0.4227644205093384,1.1233515739440918,4.9307022e-05,0.09649769961833954,0.18479405343532562,0.6982864141464233,0.9649768471717834,0.923957347869873
14,0.8376075625419617,1.7180442810058594,0.4311405122280121,1.1121889352798462,4.9257524e-05,0.09652825444936752,0.1849951595067978,0.6991775631904602,0.965256929397583,0.9249758124351501
15,0.8401840329170227,1.7141673564910889,0.433352530002594,1.0945384502410889,4.9208025e-05,0.09670776128768921,0.1852625161409378,0.7027549743652344,0.9670774340629578,0.9263253211975098
16,0.841291606426239,1.714925765991211,0.431199312210083,1.0858243703842163,4.9158527e-05,0.0967535600066185,0.1857336163520813,0.7038880586624146,0.9675612449645996,0.9286805391311646
17,0.8436636924743652,1.7166059017181396,0.43188145756721497,1.0769646167755127,4.910903e-05,0.09687069803476334,0.1859322190284729,0.7078601717948914,0.9687197804450989,0.9296608567237854
18,0.8450101017951965,1.717369794845581,0.43691393733024597,1.0642977952957153,4.905953e-05,0.0968325287103653,0.18602384626865387,0.7104700207710266,0.9683250784873962,0.9301064610481262
19,0.8455870747566223,1.7166516780853271,0.436625599861145,1.0611579418182373,4.9010032e-05,0.09700565785169601,0.1863802820444107,0.7099735140800476,0.9700692296028137,0.9319015145301819
20,0.8460432887077332,1.7110695838928223,0.4457317292690277,1.0569655895233154,4.8960534e-05,0.09696997702121735,0.18631412088871002,0.7117940783500671,0.969700038433075,0.9315705299377441
21,0.8481936454772949,1.724294662475586,0.4449825882911682,1.0432713031768799,4.8911035e-05,0.0971112996339798,0.18682841956615448,0.7133345007896423,0.9711132049560547,0.9341294765472412
22,0.8490346074104309,1.7037808895111084,0.45449012517929077,1.036742925643921,4.8861537e-05,0.09710624814033508,0.18686151504516602,0.7154479026794434,0.9710495471954346,0.9343076944351196
23,0.8490843176841736,1.7240471839904785,0.4416112005710602,1.032408356666565,4.881204e-05,0.09710748493671417,0.18695831298828125,0.7149131894111633,0.9710623025894165,0.9347659945487976
24,0.8501176238059998,1.7131104469299316,0.449390172958374,1.0298265218734741,4.876254e-05,0.09719280153512955,0.18703974783420563,0.7164027094841003,0.9719152450561523,0.9351861476898193
25,0.8514562845230103,1.7083394527435303,0.45432859659194946,1.020848274230957,4.8713042e-05,0.09719790518283844,0.1872740536928177,0.7184014916419983,0.9719662070274353,0.9363573789596558
26,0.8521318435668945,1.7244482040405273,0.4461672902107239,1.016772747039795,4.8663544e-05,0.09728698432445526,0.1872740387916565,0.7192926406860352,0.9728573560714722,0.9363446831703186
27,0.8522270917892456,1.7145209312438965,0.44535762071609497,1.0101979970932007,4.8614045e-05,0.09733790904283524,0.1873784363269806,0.7188852429389954,0.9733793139457703,0.9368793368339539
28,0.8540235757827759,1.7033319473266602,0.4494319260120392,1.0054597854614258,4.8564547e-05,0.09737103432416916,0.18762539327144623,0.7216097116470337,0.9737103581428528,0.9381397366523743
29,0.8541612029075623,1.706700086593628,0.4499445855617523,0.9997755885124207,4.851505e-05,0.09733029454946518,0.18758466839790344,0.7227300405502319,0.973302960395813,0.9379615187644958
