epoch,loss,lr,mean_absolute_error
0,602.181884765625,0.000499505,19.25416374206543
1,123.0119400024414,0.00049901,8.650578498840332
2,105.64356994628906,0.00049851503,8.064878463745117
3,86.07950592041016,0.00049802003,7.304217338562012
4,60.944114685058594,0.00049752503,6.2451491355896
5,48.749271392822266,0.00049703004,5.583092212677002
6,43.49769973754883,0.00049653504,5.255767345428467
7,39.88877487182617,0.00049604004,4.976129531860352
8,37.728050231933594,0.00049554504,4.839995384216309
9,35.733245849609375,0.00049505004,4.694615364074707
10,33.90565872192383,0.00049455505,4.576348781585693
11,32.46189880371094,0.00049406005,4.476954460144043
12,31.948217391967773,0.00049356505,4.436180114746094
13,30.326580047607422,0.00049307005,4.317993640899658
14,28.737321853637695,0.00049257505,4.221266269683838
15,27.487775802612305,0.00049208006,4.121023654937744
16,26.470285415649414,0.00049158506,4.041751861572266
17,25.444517135620117,0.00049109006,3.957883834838867
18,24.325769424438477,0.00049059506,3.870229959487915
19,23.519790649414062,0.00049010006,3.7988271713256836
