Model,F1@1,F1@5,F1@10,Precision@1,Precision@5,Precision@10,Recall@1,Recall@5,Recall@10
ATT2ITM,0.32055583596229553,0.17456791177392,0.11079075612312504,0.32055583596229553,0.10474074631929398,0.06093491613864899,0.32055583596229553,0.5237037539482117,0.6093491315841675
BOW2ITM,0.2823179066181183,0.15758377893103492,0.10101965217550923,0.2823179066181183,0.09455026686191559,0.05556080862879753,0.2823179066181183,0.47275134921073914,0.5556080937385559
GridSearch_BPR,0.009398087738749814,0.014020426381492215,0.013485167767474219,0.01194723305401145,0.009624159960175977,0.008163942586907714,0.008607541009897518,0.03339947259375726,0.05475112866910302
GridSearch_EASEᴿ,0.021010677514452496,0.021878218118520695,0.018938420182674148,0.02596863851323322,0.014983821455239223,0.01139965153903565,0.01942804699291135,0.05232545006406248,0.07759919447105126
MostPop,0.009398087738749814,0.014020426381492215,0.013485167767474219,0.01194723305401145,0.009624159960175977,0.008163942586907714,0.008607541009897518,0.03339947259375726,0.05475112866910302
USEM2ITM,0.27834758162498474,0.15890721273091105,0.1010282411555613,0.27834758162498474,0.09534432739019394,0.05556553229689598,0.27834758162498474,0.4767216444015503,0.5556553602218628
