epoch,loss,lr,mean_absolute_error
0,78.18306732177734,9.9901e-05,5.974302291870117
1,35.84607696533203,9.9802004e-05,4.607008934020996
2,33.23828887939453,9.970301e-05,4.443682670593262
3,31.60907554626465,9.960401e-05,4.3439178466796875
4,30.2890567779541,9.9505014e-05,4.256908416748047
5,29.251323699951172,9.940602e-05,4.192324638366699
6,28.27557945251465,9.930702e-05,4.127093315124512
7,27.420034408569336,9.9208024e-05,4.071537971496582
8,26.491329193115234,9.910903e-05,4.003464221954346
9,25.737356185913086,9.901003e-05,3.949382781982422
10,24.99016571044922,9.8911034e-05,3.8958325386047363
11,24.30508804321289,9.881204e-05,3.841193437576294
12,23.565980911254883,9.871304e-05,3.785005807876587
