epoch,loss,lr,mean_absolute_error
0,492.2076721191406,9.9901e-05,16.256595611572266
1,86.54985809326172,9.9802004e-05,7.289763927459717
2,78.47198486328125,9.970301e-05,6.947810173034668
3,76.16194915771484,9.960401e-05,6.838088035583496
4,74.8879623413086,9.9505014e-05,6.771458148956299
5,73.35123443603516,9.940602e-05,6.683704853057861
6,71.34581756591797,9.930702e-05,6.577652454376221
7,68.55799102783203,9.9208024e-05,6.416395664215088
8,65.92012023925781,9.910903e-05,6.273387432098389
9,63.96923065185547,9.901003e-05,6.165009021759033
10,62.81916427612305,9.8911034e-05,6.101939678192139
11,61.80720520019531,9.881204e-05,6.046567916870117
12,61.17405319213867,9.871304e-05,6.006811141967773
13,60.45747756958008,9.8614044e-05,5.973175048828125
14,59.88396453857422,9.851505e-05,5.943151950836182
15,59.45750427246094,9.841605e-05,5.913159370422363
16,58.8636474609375,9.8317054e-05,5.88577127456665
17,58.44887924194336,9.821806e-05,5.862401008605957
18,57.75092315673828,9.811906e-05,5.826768398284912
19,57.22886657714844,9.8020064e-05,5.798882961273193
20,56.755287170410156,9.792107e-05,5.776378631591797
21,56.133811950683594,9.782207e-05,5.742656707763672
22,55.59307861328125,9.7723074e-05,5.714364528656006
23,55.06134796142578,9.762408e-05,5.689751148223877
24,54.36152267456055,9.752508e-05,5.652002811431885
25,53.8388786315918,9.7426084e-05,5.62437105178833
26,53.03649139404297,9.732709e-05,5.583375453948975
27,52.46989440917969,9.722809e-05,5.5568060874938965
28,51.71603012084961,9.7129094e-05,5.522044658660889
29,50.944515228271484,9.70301e-05,5.4794182777404785
30,50.081275939941406,9.69311e-05,5.433252811431885
31,49.29627990722656,9.6832104e-05,5.400284767150879
