userId,cold,MostPop,MF,online_ibpr,BiVAECF,GridSearch_BPR,GridSearch_EASEᴿ
9DFA079ABAB110C386FC22C6349875B7,2,0.3562071871080222,0.27894294565112987,0.14955506186451523,0.3333333333333333,0.3562071871080222,0.27894294565112987
ECE516912EB815AA737F0120DE832883,4,0.5802792108518124,0.2745058665176093,0.1804287718599591,0.6934264036172708,0.5802792108518124,0.6240505200038379
4EE4E479B715B1C727EFA53A07BD7227,2,0.6309297535714575,0.18316925091363362,0.43067655807339306,0.43067655807339306,0.6309297535714575,0.5
FBC88ED030FEE65757D992DA471880F2,1,0.6309297535714575,1.0,0.14355885269113103,1.0,0.6309297535714575,0.6309297535714575
405EEF399FBA02E33DABD6D3044781D7,2,0.29248516266425384,0.34820347275594665,0.1919015462635869,0.29880884624392406,0.29248516266425384,0.5223980255208656
3345C5AF0DA3B55F7E5B53EA0ED5011A,1,0.19195872000656014,0.14195685009331532,0.22424382421757544,0.1965616322328226,0.19195872000656014,0.16104477175644444
DE1EADD6C2C8C4587CF0E28FAA289EBD,1,1.0,0.5,0.14195685009331532,0.6309297535714575,1.0,1.0
CAB30B2463F73F3B038A4301DD1692ED,2,1.0,0.5,0.14262838210336,0.6309297535714575,1.0,0.23981246656813146
3ED1F18A0549A5FBFD0E399FD68F5425,1,1.0,1.0,0.23540891336663824,1.0,1.0,1.0
DCA3675B15A713B9F64C1A9A2231E141,2,1.0,0.6309297535714575,0.1417377701235801,0.43067655807339306,1.0,1.0
3002A2A69458028ED5B98D0E8B8A8D10,1,1.0,1.0,0.1440400303421672,1.0,1.0,1.0
3C3D3E94918607E7EE92D521D9D2CF27,2,0.3135861159975682,0.18672205124026608,0.23206977363150066,0.2461391060463013,0.3135861159975682,0.3222094596999327
19603D5014D170E8665545FBF4AE900B,5,0.5,0.1949590218937863,0.14746305199023912,0.43067655807339306,0.5,0.43067655807339306
6EBCBFDB59647BDEE358ACFD6A232BA2,3,0.23981246656813146,0.21810429198553155,0.14581551052860536,0.25,0.23981246656813146,0.2559580248098155
C89E2DCBA5014C5376F66B0AA240D65D,5,1.0,1.0,0.14833566670536175,1.0,1.0,0.5
BD619808FF443C02E2DA14FF3CFEC7AB,10,0.3333333333333333,0.23540891336663824,0.14453241315894394,0.38685280723454163,0.3562071871080222,0.38685280723454163
8801351927CB0262686B4CA0AF64B011,1,0.43067655807339306,0.27894294565112987,0.16544255391905832,0.2890648263178879,0.43067655807339306,0.3562071871080222
AF5A371B82F3CEF2D03E347B92AD1810,1,0.1965616322328226,0.18428883314870617,0.18003132665669264,0.18920035951687003,0.1965616322328226,0.17905223175104137
07C7A1C9220791FF0BF5A27D247895C9,1,1.0,0.5,0.14152099882215266,0.6309297535714575,1.0,1.0
3AFA5D48076D57E0210220C23664F880,1,0.21810429198553155,0.20184908658209985,0.17905223175104137,0.22424382421757544,0.21810429198553155,0.27023815442731974
12CF05B9D1AF810BF5ACDD4566DF5509,6,0.5,0.1854490234153689,0.18665241123894338,0.31546487678572877,0.5,0.25
AE96426FC579E14A57DFF2520B46223F,4,1.0,1.0,0.14240211088697471,1.0,1.0,1.0
